"training_set_id";"period";"hour_number";"timestamp_cst";"hours_in_sample"
1;2016;304001;"2017-09-06 16:00:00";348.0
1;2016;304005;"2017-09-06 20:00:00";348.0
1;2016;305138;"2017-10-24 01:00:00";12.0
1;2016;305142;"2017-10-24 05:00:00";12.0
1;2016;305146;"2017-10-24 09:00:00";12.0
1;2016;305150;"2017-10-24 13:00:00";12.0
1;2016;305154;"2017-10-24 17:00:00";12.0
1;2016;305158;"2017-10-24 21:00:00";12.0
1;2016;305089;"2017-10-22 00:00:00";360.0
1;2016;305093;"2017-10-22 04:00:00";360.0
1;2016;305097;"2017-10-22 08:00:00";360.0
1;2016;305101;"2017-10-22 12:00:00";360.0
1;2016;305105;"2017-10-22 16:00:00";360.0
1;2016;305109;"2017-10-22 20:00:00";360.0
1;2016;305833;"2017-11-22 00:00:00";12.0
1;2016;305837;"2017-11-22 04:00:00";12.0
1;2016;305841;"2017-11-22 08:00:00";12.0
1;2016;305845;"2017-11-22 12:00:00";12.0
1;2016;305849;"2017-11-22 16:00:00";12.0
1;2016;305853;"2017-11-22 20:00:00";12.0
1;2016;305977;"2017-11-28 00:00:00";348.0
1;2016;305981;"2017-11-28 04:00:00";348.0
1;2016;305985;"2017-11-28 08:00:00";348.0
1;2016;305989;"2017-11-28 12:00:00";348.0
1;2016;305993;"2017-11-28 16:00:00";348.0
1;2016;305997;"2017-11-28 20:00:00";348.0
1;2016;306483;"2017-12-19 02:00:00";12.0
1;2016;306487;"2017-12-19 06:00:00";12.0
1;2016;306491;"2017-12-19 10:00:00";12.0
1;2016;306495;"2017-12-19 14:00:00";12.0
1;2016;306499;"2017-12-19 18:00:00";12.0
1;2016;306503;"2017-12-19 22:00:00";12.0
1;2016;306145;"2017-12-05 00:00:00";360.0
1;2016;306149;"2017-12-05 04:00:00";360.0
1;2016;306153;"2017-12-05 08:00:00";360.0
1;2016;306157;"2017-12-05 12:00:00";360.0
1;2016;306161;"2017-12-05 16:00:00";360.0
1;2016;306165;"2017-12-05 20:00:00";360.0
1;2019;324915;"2020-01-26 02:00:00";12.0
1;2019;324919;"2020-01-26 06:00:00";12.0
1;2019;324923;"2020-01-26 10:00:00";12.0
1;2019;324927;"2020-01-26 14:00:00";12.0
1;2019;324931;"2020-01-26 18:00:00";12.0
1;2019;324935;"2020-01-26 22:00:00";12.0
1;2019;324577;"2020-01-12 00:00:00";360.0
1;2019;324581;"2020-01-12 04:00:00";360.0
1;2019;324585;"2020-01-12 08:00:00";360.0
1;2019;324589;"2020-01-12 12:00:00";360.0
1;2019;324593;"2020-01-12 16:00:00";360.0
1;2019;324597;"2020-01-12 20:00:00";360.0
1;2019;325082;"2020-02-02 01:00:00";12.0
1;2019;325086;"2020-02-02 05:00:00";12.0
1;2019;325090;"2020-02-02 09:00:00";12.0
