project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id
18518,CSP_Trough_No_Storage,23999,CO_E,17.5255898416901,53.1762018356203,26111.1699331008,10629
10922,Central_PV,23999,CO_E,17.5255898416901,43.3311048305165,26111.1699331008,10629
3985,Central_PV,3749,WY_SE,16.4334317670822,44.4463226450067,36172.936778631,10630
11583,CSP_Trough_No_Storage,3749,WY_SE,16.4334317670822,50.9888353880425,36172.936778631,10630
14365,CSP_Trough_No_Storage,13284,WY_SE,29.0399920874481,51.0308735886245,35584.2695596504,10631
6767,Central_PV,13284,WY_SE,29.0399920874481,44.4591999463519,35584.2695596504,10631
539,Wind,830,WY_SE,60,1,7502.36729177291,10632
9738,Central_PV,19420,WY_SE,1.26195759476471,44.4849509549356,36191.1372298148,10633
17335,CSP_Trough_No_Storage,19420,WY_SE,1.26195759476471,51.8385589518088,36191.1372298148,10633
11658,CSP_Trough_No_Storage,3871,WY_SE,14.5778615820236,50.3914941005936,38218.5288057741,10634
4060,Central_PV,3871,WY_SE,14.5778615820236,44.5107019635193,38218.5288057741,10634
18309,CSP_Trough_No_Storage,22838,CO_E,58.6580691474457,53.7879022310208,11535.7827217354,10719
10713,Central_PV,22838,CO_E,58.6580691474457,43.5321636373391,11535.7827217354,10719
602,Wind,2235,WY_SE,30,1,7221.16985431252,10724
5595,Central_PV,11032,NM_N,69.1228321022339,43.0428944742489,53280.2796269876,10635
13193,CSP_Trough_No_Storage,11032,NM_N,69.1228321022339,54.2329027460629,53280.2796269876,10635
2458,Wind,666,NM_N,120,1,41350.461481409,10636
629,Wind,2254,WY_SE,30,1,5883.02683589559,10637
540,Wind,2283,WY_SE,30,1,26159.3446994079,10638
15952,CSP_Trough_No_Storage,17001,NM_N,6.96309099584961,54.5850088116576,49887.3422666133,10639
8355,Central_PV,17001,NM_N,6.96309099584961,42.708131362661,49887.3422666133,10639
13033,CSP_Trough_No_Storage,10748,NM_N,54.7925777064819,54.9489369741218,32755.1585224686,10640
5435,Central_PV,10748,NM_N,54.7925777064819,42.7772310112594,32755.1585224686,10640
10693,Central_PV,22817,CO_E,255.432833035828,43.3840820981283,36714.6422033998,10641
15992,CSP_Trough_No_Storage,17051,NM_N,18.7473291134644,54.9489369741219,36902.0782811305,10646
13148,CSP_Trough_No_Storage,10952,NM_N,13.0653518504028,55.3178630764052,50612.416024789,10647
18289,CSP_Trough_No_Storage,22817,CO_E,255.432833035828,52.6697167115475,36714.6422033998,10641
18291,CSP_Trough_No_Storage,22819,CO_E,1.99865937947083,53.1762018356204,18538.0295346113,10642
10695,Central_PV,22819,CO_E,1.99865937947083,43.5579146459228,18538.0295346113,10642
9277,Central_PV,18849,CO_E,152.870674328171,43.8921269752797,17331.6713878497,10643
16874,CSP_Trough_No_Storage,18849,CO_E,152.870674328171,53.0481385405296,17331.6713878497,10643
9739,Central_PV,19421,WY_SE,3.15465288673401,44.4849509549356,37504.0559049471,10644
17336,CSP_Trough_No_Storage,19421,WY_SE,3.15465288673401,50.8786816484225,37504.0559049471,10644
11953,CSP_Trough_No_Storage,4456,WY_NE,19.6222357317634,48.7274145565211,14437.5127836453,10645
4355,Central_PV,4456,WY_NE,19.6222357317634,44.9855429348179,14437.5127836453,10645
8395,Central_PV,17051,NM_N,18.7473291134644,42.7596333798283,36902.0782811305,10646
5550,Central_PV,10952,NM_N,13.0653518504028,42.9398904399142,50612.416024789,10647
2386,Wind,3767,NM_N,30,1,56408.6432627151,10648
2387,Wind,600,NM_N,480,1,50792.2425796089,10649
2864,Wind,2163,CO_DEN,30,1,21977.1565471802,10650
13689,CSP_Trough_No_Storage,12103,NM_N,6.97433363983154,54.5850088116576,36837.4092925131,10738
6091,Central_PV,12103,NM_N,6.97433363983154,42.6566293454936,36837.4092925131,10738
5988,Central_PV,11977,NM_N,20.322893337677,42.5633906775987,74358.2661369903,10651
13586,CSP_Trough_No_Storage,11977,NM_N,20.322893337677,53.1762018356204,74358.2661369903,10651
5995,Central_PV,11984,NM_N,4.17875258102417,42.6823803540773,48514.1821479632,10652
13593,CSP_Trough_No_Storage,11984,NM_N,4.17875258102417,54.9489369741219,48514.1821479632,10652
13083,CSP_Trough_No_Storage,10836,NM_N,46.2803891231689,55.6916908047539,41251.8660375396,10653
5485,Central_PV,10836,NM_N,46.2803891231689,42.8626374141631,41251.8660375396,10653
3616,Central_PV,3203,CO_E,15.1181984429321,43.789673723176,2687.31153574681,10654
