gentype,aer_fuel,overnight_cost,fixed_o_m,variable_o_m,fuel,forced_outage_rate,max_age
BT,GEO,1532070,154920,0,Geothermal,0.01,30
CC,NG,664900,16440,0.33,Gas,0.05,25
GT,NG,756480,10110,0.01,Gas,0.01,25
IC,NG,884690,30000,1,Gas,0.05,30
ST,COL,240160,25910,4.32,Coal,0.01,45
ST,GEO,1159660,154920,0,Geothermal,0.05,45
ST,NG,722030,25000,1,Gas,0.01,45
ST,NUC,956560,1000,6.3,Nuclear,0.01,45
