ep_id,month,avg_capacity_factor_hydro
5000021,1,0.07083
5000021,2,0.08826
5000021,3,0.11023
5000021,4,0.12992
5000021,5,0.09773
5000021,6,0.10492
5000021,7,0.10909
5000021,8,0.09167
5000021,9,0.06288
5000021,10,0.04659
5000021,11,0.04394
5000021,12,0.06098
5000022,1,0.23580
5000022,2,0.27841
5000022,3,0.37216
5000022,4,0.46875
5000022,5,0.51989
5000022,6,0.52557
5000022,7,0.53409
5000022,8,0.46875
5000022,9,0.35511
5000022,10,0.27273
5000022,11,0.23580
5000022,12,0.23864
5000023,1,0.25000
5000023,2,0.26923
5000023,3,0.31731
5000023,4,0.40385
5000023,5,0.47115
5000023,6,0.49038
5000023,7,0.48077
5000023,8,0.42308
5000023,9,0.29808
5000023,10,0.21154
5000023,11,0.21154
5000023,12,0.21154
5000024,1,0.42708
5000024,2,0.41667
5000024,3,0.51042
5000024,4,0.65625
5000024,5,0.76042
5000024,6,0.77083
5000024,7,0.79167
5000024,8,0.68750
5000024,9,0.47917
5000024,10,0.35417
5000024,11,0.33333
5000024,12,0.33333
5000025,1,0.35625
5000025,2,0.36250
5000025,3,0.41875
5000025,4,0.51250
5000025,5,0.60625
5000025,6,0.60625
5000025,7,0.59375
5000025,8,0.50000
5000025,9,0.38125
5000025,10,0.30625
5000025,11,0.30000
5000025,12,0.32500
5000026,1,0.33750
5000026,2,0.32500
5000026,3,0.36250
5000026,4,0.41250
5000026,5,0.48750
5000026,6,0.48750
5000026,7,0.47500
5000026,8,0.42500
5000026,9,0.31250
5000026,10,0.26250
5000026,11,0.26250
5000026,12,0.28750
5000027,1,0.11111
5000027,2,0.14815
5000027,3,0.14815
5000027,4,0.12963
5000027,5,0.20370
5000027,6,0.24074
5000027,7,0.27778
5000027,8,0.22222
5000027,9,0.12963
5000027,10,0.09259
5000027,11,0.07407
5000027,12,0.01852
5000028,1,0.35491
5000028,2,0.35045
5000028,3,0.39063
5000028,4,0.45982
5000028,5,0.52009
5000028,6,0.52902
5000028,7,0.50893
5000028,8,0.43304
5000028,9,0.32813
5000028,10,0.27679
5000028,11,0.27902
5000028,12,0.29911
5000029,1,0.45882
5000029,2,0.45000
5000029,3,0.51765
5000029,4,0.57941
5000029,5,0.65441
5000029,6,0.66471
5000029,7,0.65588
5000029,8,0.55588
5000029,9,0.43235
5000029,10,0.36324
5000029,11,0.36912
5000029,12,0.39412
5000030,1,0.22772
5000030,2,0.22401
5000030,3,0.25124
5000030,4,0.29455
5000030,5,0.33663
5000030,6,0.33911
5000030,7,0.32921
5000030,8,0.28218
5000030,9,0.21287
5000030,10,0.17698
5000030,11,0.17946
5000030,12,0.19059
5000031,1,0.54688
5000031,2,0.49219
5000031,3,0.65918
5000031,4,0.63574
5000031,5,0.67871
5000031,6,0.65723
5000031,7,0.48633
5000031,8,0.53320
5000031,9,0.70410
5000031,10,0.64746
5000031,11,0.45020
5000031,12,0.29980
5000032,1,0.34821
5000032,2,0.34821
5000032,3,0.41964
5000032,4,0.50893
5000032,5,0.60714
5000032,6,0.60714
5000032,7,0.61607
5000032,8,0.51786
5000032,9,0.37500
5000032,10,0.29464
5000032,11,0.29464
5000032,12,0.31250
5000033,1,0.40403
5000033,2,0.37621
5000033,3,0.40524
5000033,4,0.49032
5000033,5,0.55927
5000033,6,0.66815
5000033,7,0.71573
5000033,8,0.56855
5000033,9,0.40968
5000033,10,0.27419
5000033,11,0.28145
5000033,12,0.37218
5000034,1,0.57330
5000034,2,0.49730
5000034,3,0.43994
5000034,4,0.63786
5000034,5,0.70923
5000034,6,0.74293
5000034,7,0.79797
5000034,8,0.63490
5000034,9,0.49331
5000034,10,0.33681
5000034,11,0.34221
5000034,12,0.44946
5000035,1,0.50000
5000035,2,0.49875
5000035,3,0.59625
5000035,4,0.68250
5000035,5,0.77750
5000035,6,0.78625
5000035,7,0.79125
5000035,8,0.70875
5000035,9,0.53375
5000035,10,0.42250
5000035,11,0.41250
5000035,12,0.45000
5000036,1,0.28313
5000036,2,0.27888
5000036,3,0.40742
5000036,4,0.62712
5000036,5,0.76416
5000036,6,0.77336
5000036,7,0.78596
5000036,8,0.68941
5000036,9,0.50495
5000036,10,0.31059
5000036,11,0.33296
5000036,12,0.35660
5000037,1,0.28313
5000037,2,0.27888
5000037,3,0.40742
5000037,4,0.62712
5000037,5,0.76416
5000037,6,0.77336
5000037,7,0.78596
5000037,8,0.68941
5000037,9,0.50495
5000037,10,0.31059
5000037,11,0.33296
5000037,12,0.35660
5000038,1,0.28313
5000038,2,0.27888
5000038,3,0.40742
5000038,4,0.62712
5000038,5,0.76416
5000038,6,0.77336
5000038,7,0.78596
5000038,8,0.68941
5000038,9,0.50495
5000038,10,0.31059
5000038,11,0.33296
5000038,12,0.35660
5000039,1,0.49078
5000039,2,0.48833
5000039,3,0.57944
5000039,4,0.70858
5000039,5,0.83415
5000039,6,0.84507
5000039,7,0.82963
5000039,8,0.71743
5000039,9,0.53257
5000039,10,0.42169
5000039,11,0.40719
5000039,12,0.44465
5000040,1,0.49078
5000040,2,0.48833
5000040,3,0.57944
5000040,4,0.70858
5000040,5,0.83415
5000040,6,0.84507
5000040,7,0.82963
5000040,8,0.71743
