project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id,avg_capacity_factor
1000300,Residential_PV,1000300,NM_N,23.647,1,,100179,0.157897875423337
1000301,Commercial_PV,1000301,WY_SE,7.524,1,,100179,0.164074477831486
1000302,Residential_PV,1000302,WY_SE,37.557,1,,100059,0.140639363231565
1000303,Commercial_PV,1000303,UT_N,11.6088,1,,100059,0.145839071934912
1000304,Residential_PV,1000304,WY_SE,146.055,1,,100050,0.135205556778073
1000305,Commercial_PV,1000305,AZ_NM_N,36.2497,1,,100050,0.140309581372211
1000306,Residential_PV,1000306,NV_N,25.038,1,,100012,0.135857094910186
1000307,Commercial_PV,1000307,WA_ID_AVA,7.7387,1,,100012,0.14064879924419
1000310,Residential_PV,1000310,NV_N,38.948,1,,100320,0.158197333082156
1000311,Commercial_PV,1000311,WY_SE,9.3144,1,,100320,0.164450243281016
1000312,Residential_PV,1000312,CA_PGE_S,55.64,1,,100629,0.1716973828529
1000313,Commercial_PV,1000313,CA_PGE_S,13.0696,1,,100629,0.178936137512037
1000314,Residential_PV,1000314,CA_PGE_S,275.418,1,,100321,0.169399243812173
1000315,Commercial_PV,1000315,CA_PGE_S,66.1988,1,,100321,0.1766727288511
1000316,Residential_PV,1000316,UT_N,59.813,1,,100444,0.170689699793382
1000317,Commercial_PV,1000317,CA_PGE_S,14.5296,1,,100444,0.178006701453428
1000318,Residential_PV,1000318,CA_SDGE,350.532,1,,100639,0.169320903541157
1000319,Commercial_PV,1000319,CA_SDGE,94.0395,1,,100639,0.176352014453359
1000340,Residential_PV,1000340,CA_SDGE,148.837,1,,102569,0.167314272911884
1000341,Commercial_PV,1000341,AZ_APS_E,32.4582,1,,102569,0.173426670278107
1000388,Residential_PV,1000388,CA_SCE_CEN,79.287,1,,101319,0.161440365904594
1000389,Commercial_PV,1000389,CA_SDGE,35.0175,1,,101319,0.168072323515002
1000390,Residential_PV,1000390,CA_SDGE,75.114,1,,101315,0.163717454623727
1000391,Commercial_PV,1000391,CA_PGE_N,32.2998,1,,101315,0.170295422212673
1000396,Residential_PV,1000396,CA_PGE_N,1026.558,1,,101239,0.158928050998634
1000397,Commercial_PV,1000397,WY_SE,232.9375,1,,101239,0.165347947285754
1000416,Residential_PV,1000416,CA_SDGE,44.512,1,,102255,0.184365915641864
