project_id,technology,original_dataset_id,load_area,capacity_limit,capacity_limit_conversion,connect_cost_per_mw,location_id
13426,CSP_Trough_6h_Storage,11775,NM_N,12.0697188143921,33.9339690194871,41449.6022886394,8862
21024,CSP_Trough_No_Storage,11775,NM_N,12.0697188143921,55.6916908047539,41449.6022886394,8862
23418,CSP_Trough_No_Storage,16760,NM_N,76.3716560325317,56.4548588241277,1670.41096667683,8863
15820,CSP_Trough_6h_Storage,16760,NM_N,76.3716560325317,34.5009199663854,1670.41096667683,8863
8222,Central_PV,16760,NM_N,76.3716560325317,42.373368251073,1670.41096667683,8863
13576,CSP_Trough_6h_Storage,11961,NM_N,14.1081844233398,34.2150908349079,7289.04816676823,8864
5978,Central_PV,11961,NM_N,14.1081844233398,42.4248702682403,7289.04816676823,8864
21174,CSP_Trough_No_Storage,11961,NM_N,14.1081844233398,56.4548588241277,7289.04816676823,8864
12856,CSP_Trough_6h_Storage,10352,NM_N,21.0710042139893,33.9759725764797,10089.3318855577,8865
5258,Central_PV,10352,NM_N,21.0710042139893,42.5201461995567,10089.3318855577,8865
20454,CSP_Trough_No_Storage,10352,NM_N,21.0710042139893,56.7274331655511,10089.3318855577,8865
24834,CSP_Trough_No_Storage,19316,WY_SE,116.573210025787,53.5215689951423,213.234533965228,8866
9638,Central_PV,19316,WY_SE,116.573210025787,44.3193169483946,213.234533965228,8866
17236,CSP_Trough_6h_Storage,19316,WY_SE,116.573210025787,32.1597649843015,213.234533965228,8866
9648,Central_PV,19326,WY_SE,111.867814317322,44.3561959120172,1640.0105912644,8867
24844,CSP_Trough_No_Storage,19326,WY_SE,111.867814317322,53.4038073732849,1640.0105912644,8867
8741,Central_PV,18253,CO_SW,16.9430051757812,43.2231515343348,16892.3276811006,8880
17246,CSP_Trough_6h_Storage,19326,WY_SE,111.867814317322,32.1288483571616,1640.0105912644,8867
9644,Central_PV,19322,WY_SE,36.1742216840439,44.3819469206009,650.383019608771,8868
24840,CSP_Trough_No_Storage,19322,WY_SE,36.1742216840439,54.2257879508683,650.383019608771,8868
17242,CSP_Trough_6h_Storage,19322,WY_SE,36.1742216840439,32.595090765818,650.383019608771,8868
19607,CSP_Trough_No_Storage,4643,MT_SE,19.1803199825249,49.8420159597485,52218.8416552204,8869
4411,Central_PV,4643,MT_SE,19.1803199825249,45.1803456385243,52218.8416552204,8869
12009,CSP_Trough_6h_Storage,4643,MT_SE,19.1803199825249,29.4157811420179,52218.8416552204,8869
26729,Geothermal,41,CO_SW,10,1,23742.5835360633,8870
2959,Wind,1651,CO_SW,330,1,1297.61572304563,8871
1005,Wind,1863,CO_SW,30,1,24663.3535633561,8872
21165,CSP_Trough_No_Storage,11952,NM_N,115.783234292603,56.4548588241277,1200.58419433056,8873
13567,CSP_Trough_6h_Storage,11952,NM_N,115.783234292603,34.2958273927949,1200.58419433056,8873
5969,Central_PV,11952,NM_N,115.783234292603,42.410259932149,1200.58419433056,8873
526,Wind,1744,WY_SE,120,1,12740.862418485,9544
13189,CSP_Trough_6h_Storage,11024,CO_SW,15.7155653835754,34.7915368305813,16155.6486661875,8874
20787,CSP_Trough_No_Storage,11024,CO_SW,15.7155653835754,58.4577641380965,16155.6486661875,8874
5591,Central_PV,11024,CO_SW,15.7155653835754,43.0686454828326,16155.6486661875,8874
