load_area,compliance_year,compliance_fraction
AZ_SE,2018,0.08
AZ_SE,2019,0.09
AZ_SE,2020,0.1
AZ_SE,2021,0.11
AZ_SE,2022,0.12
AZ_SE,2023,0.13
AZ_SE,2024,0.14
AZ_SE,2025,0.15
AZ_SE,2026,0.15
AZ_SE,2027,0.15
AZ_SE,2028,0.15
AZ_SE,2029,0.15
AZ_SE,2030,0.15
AZ_SE,2031,0.15
AZ_SE,2032,0.15
AZ_SE,2033,0.15
AZ_SE,2034,0.15
AZ_SE,2035,0.15
CA_IID,2010,0.2
CA_IID,2011,0.2
CA_IID,2012,0.2
CA_IID,2013,0.2
CA_IID,2014,0.2
CA_IID,2015,0.2
CA_IID,2016,0.2
CA_IID,2017,0.2
CA_IID,2018,0.2
CA_IID,2019,0.2
CA_IID,2020,0.33
CA_IID,2021,0.33
CA_IID,2022,0.33
CA_IID,2023,0.33
CA_IID,2024,0.33
CA_IID,2025,0.33
CA_IID,2026,0.33
CA_IID,2027,0.33
CA_IID,2028,0.33
CA_IID,2029,0.33
CA_IID,2030,0.33
CA_IID,2031,0.33
CA_IID,2032,0.33
CA_IID,2033,0.33
CA_IID,2034,0.33
CA_IID,2035,0.33
CA_LADWP,2010,0.2
CA_LADWP,2011,0.2
CA_LADWP,2012,0.2
CA_LADWP,2013,0.2
CA_LADWP,2014,0.2
CA_LADWP,2015,0.2
CA_LADWP,2016,0.2
CA_LADWP,2017,0.2
CA_LADWP,2018,0.2
CA_LADWP,2019,0.2
CA_LADWP,2020,0.33
CA_LADWP,2021,0.33
CA_LADWP,2022,0.33
CA_LADWP,2023,0.33
CA_LADWP,2024,0.33
CA_LADWP,2025,0.33
CA_LADWP,2026,0.33
CA_LADWP,2027,0.33
CA_LADWP,2028,0.33
CA_LADWP,2029,0.33
CA_LADWP,2030,0.33
CA_LADWP,2031,0.33
CA_LADWP,2032,0.33
CA_LADWP,2033,0.33
CA_LADWP,2034,0.33
CA_LADWP,2035,0.33
CA_PGE_BAY,2010,0.2
CA_PGE_BAY,2011,0.2
CA_PGE_BAY,2012,0.2
CA_PGE_BAY,2013,0.2
CA_PGE_BAY,2014,0.2
CA_PGE_BAY,2015,0.2
CA_PGE_BAY,2016,0.2
CA_PGE_BAY,2017,0.2
CA_PGE_BAY,2018,0.2
CA_PGE_BAY,2019,0.2
CA_PGE_BAY,2020,0.33
CA_PGE_BAY,2021,0.33
CA_PGE_BAY,2022,0.33
CA_PGE_BAY,2023,0.33
CA_PGE_BAY,2024,0.33
CA_PGE_BAY,2025,0.33
CA_PGE_BAY,2026,0.33
CA_PGE_BAY,2027,0.33
CA_PGE_BAY,2028,0.33
CA_PGE_BAY,2029,0.33
CA_PGE_BAY,2030,0.33
CA_PGE_BAY,2031,0.33
CA_PGE_BAY,2032,0.33
CA_PGE_BAY,2033,0.33
CA_PGE_BAY,2034,0.33
CA_PGE_BAY,2035,0.33
CA_PGE_CEN,2010,0.2
CA_PGE_CEN,2011,0.2
CA_PGE_CEN,2012,0.2
CA_PGE_CEN,2013,0.2
CA_PGE_CEN,2014,0.2
CA_PGE_CEN,2015,0.2
CA_PGE_CEN,2016,0.2
CA_PGE_CEN,2017,0.2
CA_PGE_CEN,2018,0.2
CA_PGE_CEN,2019,0.2
CA_PGE_CEN,2020,0.33
CA_PGE_CEN,2021,0.33
CA_PGE_CEN,2022,0.33
CA_PGE_CEN,2023,0.33
CA_PGE_CEN,2024,0.33
CA_PGE_CEN,2025,0.33
CA_PGE_CEN,2026,0.33
CA_PGE_CEN,2027,0.33
CA_PGE_CEN,2028,0.33
CA_PGE_CEN,2029,0.33
CA_PGE_CEN,2030,0.33
CA_PGE_CEN,2031,0.33
CA_PGE_CEN,2032,0.33
CA_PGE_CEN,2033,0.33
