breakpoint_id,load_area,year,price_dollars_per_mmbtu,breakpoint_mmbtu_per_year
7,AZ_APS_E,2019,1349.0993,7202269
8,AZ_APS_E,2019,1731.2136,7211186
9,AZ_APS_E,2019,999999999.0000,
1,AZ_APS_E,2020,1.8308,607675
2,AZ_APS_E,2020,3.6451,914969
3,AZ_APS_E,2020,4.3960,7170860
4,AZ_APS_E,2020,580.6591,7171500
5,AZ_APS_E,2020,592.7262,7197021
6,AZ_APS_E,2020,1021.6472,7207399
7,AZ_APS_E,2020,1332.5550,7215175
8,AZ_APS_E,2020,1715.3480,7224092
9,AZ_APS_E,2020,999999999.0000,
1,AZ_APS_E,2021,1.8506,645286
2,AZ_APS_E,2021,3.8525,956585
3,AZ_APS_E,2021,4.4281,4086366
4,AZ_APS_E,2021,4.7559,7187335
5,AZ_APS_E,2021,428.8109,7212886
6,AZ_APS_E,2021,1319.2980,7223264
7,AZ_APS_E,2021,1353.9668,7231041
8,AZ_APS_E,2021,1737.5942,7239958
9,AZ_APS_E,2021,999999999.0000,
1,AZ_APS_E,2022,1.8527,649973
2,AZ_APS_E,2022,3.8373,965959
3,AZ_APS_E,2022,4.4326,4095740
4,AZ_APS_E,2022,4.7571,7197401
5,AZ_APS_E,2022,562.8021,7222281
6,AZ_APS_E,2022,1208.8679,7232659
7,AZ_APS_E,2022,1243.5777,7240435
8,AZ_APS_E,2022,1627.6993,7249352
9,AZ_APS_E,2022,999999999.0000,
1,AZ_APS_E,2023,1.8533,651584
2,AZ_APS_E,2023,3.8318,969169
3,AZ_APS_E,2023,4.4342,4098950
4,AZ_APS_E,2023,4.7573,7199920
5,AZ_APS_E,2023,429.0623,7225532
6,AZ_APS_E,2023,1321.1056,7235909
7,AZ_APS_E,2023,1355.8297,7243686
8,AZ_APS_E,2023,1740.1222,7252603
9,AZ_APS_E,2023,999999999.0000,
1,AZ_APS_E,2024,1.8544,654759
2,AZ_APS_E,2024,3.8210,975520
3,AZ_APS_E,2024,4.4374,4105311
4,AZ_APS_E,2024,4.7581,7207043
5,AZ_APS_E,2024,563.5445,7231923
6,AZ_APS_E,2024,1210.4711,7242301
7,AZ_APS_E,2024,1245.2232,7250077
8,AZ_APS_E,2024,1629.8519,7258994
9,AZ_APS_E,2024,999999999.0000,
1,AZ_APS_E,2025,1.8561,677509
2,AZ_APS_E,2025,3.9427,975713
3,AZ_APS_E,2025,4.4398,4105365
4,AZ_APS_E,2025,4.7579,7206335
