ampl.tab 1 5
hour	period	date	hours_in_sample	month_of_year	hour_of_day
2016063013	2014	20160630	8.0	6	13
2016063015	2014	20160630	8.0	6	15
2016063017	2014	20160630	8.0	6	17
2016063019	2014	20160630	8.0	6	19
2016063021	2014	20160630	8.0	6	21
2016063023	2014	20160630	8.0	6	23
2016071000	2014	20160710	240.0	7	0
2016071002	2014	20160710	240.0	7	2
2016071004	2014	20160710	240.0	7	4
2016071006	2014	20160710	240.0	7	6
2016071008	2014	20160710	240.0	7	8
2016071010	2014	20160710	240.0	7	10
2016071012	2014	20160710	240.0	7	12
2016071014	2014	20160710	240.0	7	14
2016071016	2014	20160710	240.0	7	16
2016071018	2014	20160710	240.0	7	18
2016071020	2014	20160710	240.0	7	20
2016071022	2014	20160710	240.0	7	22
2016071101	2014	20160711	8.0	7	1
2016071103	2014	20160711	8.0	7	3
2016071105	2014	20160711	8.0	7	5
2016071107	2014	20160711	8.0	7	7
2016071109	2014	20160711	8.0	7	9
2016071111	2014	20160711	8.0	7	11
2016071113	2014	20160711	8.0	7	13
2016071115	2014	20160711	8.0	7	15
2016071117	2014	20160711	8.0	7	17
2016071119	2014	20160711	8.0	7	19
2016071121	2014	20160711	8.0	7	21
2016071123	2014	20160711	8.0	7	23
2016081000	2014	20160810	240.0	8	0
2016081002	2014	20160810	240.0	8	2
2016081004	2014	20160810	240.0	8	4
2016081006	2014	20160810	240.0	8	6
2016081008	2014	20160810	240.0	8	8
2016081010	2014	20160810	240.0	8	10
2016081012	2014	20160810	240.0	8	12
2016081014	2014	20160810	240.0	8	14
2016081016	2014	20160810	240.0	8	16
2016081018	2014	20160810	240.0	8	18
2016081020	2014	20160810	240.0	8	20
2016081022	2014	20160810	240.0	8	22
2016082701	2014	20160827	8.0	8	1
2016082703	2014	20160827	8.0	8	3
2016082705	2014	20160827	8.0	8	5
2016082707	2014	20160827	8.0	8	7
2016082709	2014	20160827	8.0	8	9
2016082711	2014	20160827	8.0	8	11
2016082713	2014	20160827	8.0	8	13
2016082715	2014	20160827	8.0	8	15
2016082717	2014	20160827	8.0	8	17
2016082719	2014	20160827	8.0	8	19
2016082721	2014	20160827	8.0	8	21
2016082723	2014	20160827	8.0	8	23
2016092100	2014	20160921	232.0	9	0
2016092102	2014	20160921	232.0	9	2
2016092104	2014	20160921	232.0	9	4
