ampl.tab 4 1
project_id	la_id	technology	hour	capacity_factor
22	S20	Wind	2012010802	0.167998
21	S20	Wind	2012010802	0.138695
20	S20	Wind	2012010802	0.207183
19	S20	Wind	2012010802	0.136505
16	S20	Wind	2012010802	0
15	S20	Wind	2012010802	0
12	S17	Wind	2012010802	0.269082
11	S17	Wind	2012010802	0.253639
8	S17	Wind	2012010802	0.231719
7	S17	Wind	2012010802	0.0288409
6	S17	Wind	2012010802	0.489812
4	S15	Wind	2012010802	0.000268379
3	S15	Wind	2012010802	0.0383821
2	S15	Wind	2012010802	0
1	S14	Wind	2012010802	0.0278781
172	S4	Hydro_RoR	2012010806	0.467742
173	S4	Hydro_RoR	2012010806	0.467742
176	S4	Hydro_RoR	2012010806	0.467742
180	S8	Hydro_RoR	2012010806	0
181	S8	Hydro_RoR	2012010806	0
188	S8	Hydro_RoR	2012010806	0
174	S4	Hydro_RoR	2012010806	0.766667
175	S4	Hydro_RoR	2012010806	0.766667
185	S8	Hydro_RoR	2012010806	0.687783
125	S1	Hydro_RoR	2012010806	0.267857
137	S1	Hydro_RoR	2012010806	0.267857
124	S1	Hydro_RoR	2012010806	0.267857
128	S1	Hydro_RoR	2012010806	0.267857
135	S1	Hydro_RoR	2012010806	0.267857
132	S1	Hydro_RoR	2012010806	0.267857
122	S1	Hydro_RoR	2012010806	0.267857
138	S11	Hydro_RoR	2012010806	1
171	S4	Hydro_RoR	2012010806	1
191	S8	Hydro_RoR	2012010806	0.544444
183	S8	Hydro_RoR	2012010806	0.544444
178	S7	Hydro_RoR	2012010806	0.366667
141	S15	Hydro_RoR	2012010806	0.366667
129	S1	Hydro_RoR	2012010806	0.480226
133	S1	Hydro_RoR	2012010806	0.480226
134	S1	Hydro_RoR	2012010806	0.480226
115	S1	Hydro_RoR	2012010806	0.480226
114	S1	Hydro_RoR	2012010806	0.480226
123	S1	Hydro_RoR	2012010806	0.480226
126	S1	Hydro_RoR	2012010806	0.480226
127	S1	Hydro_RoR	2012010806	0.480226
117	S1	Hydro_RoR	2012010806	0.480226
119	S1	Hydro_RoR	2012010806	0.242105
193	S8	Hydro_RoR	2012010806	0.242105
189	S8	Hydro_RoR	2012010806	0.242105
182	S8	Hydro_RoR	2012010806	0.985294
179	S8	Hydro_RoR	2012010806	0.985294
184	S8	Hydro_RoR	2012010806	0.985294
136	S1	Hydro_RoR	2012010806	0.5
131	S1	Hydro_RoR	2012010806	0.5
121	S1	Hydro_RoR	2012010806	0.5
120	S1	Hydro_RoR	2012010806	0.5
130	S1	Hydro_RoR	2012010806	0.5
116	S1	Hydro_RoR	2012010806	0
113	S1	Hydro_RoR	2012010806	0
169	S18	Hydro_RoR	2012010806	0.545455
167	S18	Hydro_RoR	2012010806	0.545455
165	S18	Hydro_RoR	2012010806	0.545455
146	S18	Hydro_RoR	2012010806	0.545455
170	S18	Hydro_RoR	2012010806	0.545455
112	1	Hydro_RoR	2012010806	0.545455
111	1	Hydro_RoR	2012010806	0.545455
144	S18	Hydro_RoR	2012010806	0.545455
142	S18	Hydro_RoR	2012010806	0.545455
157	S18	Hydro_RoR	2012010806	0.545455
140	S12	Hydro_RoR	2012010806	0.545455
139	S12	Hydro_RoR	2012010806	0.545455
148	S18	Hydro_RoR	2012010806	0.545455
159	S18	Hydro_RoR	2012010806	0.545455
155	S18	Hydro_RoR	2012010806	0.545455
160	S18	Hydro_RoR	2012010806	0.545455
150	S18	Hydro_RoR	2012010806	0.545455
162	S18	Hydro_RoR	2012010806	0.545455
163	S18	Hydro_RoR	2012010806	0.545455
110	1	Hydro_RoR	2012010806	0.545455
164	S18	Hydro_RoR	2012010806	0.545455
168	S18	Hydro_RoR	2012010806	0.490196
143	S18	Hydro_RoR	2012010806	0.490196
149	S18	Hydro_RoR	2012010806	0.490196
151	S18	Hydro_RoR	2012010806	0.293774
147	S18	Hydro_RoR	2012010806	0.293774
145	S18	Hydro_RoR	2012010806	0.293774
158	S18	Hydro_RoR	2012010806	0.293774
161	S18	Hydro_RoR	2012010806	0.293774
166	S18	Hydro_RoR	2012010806	0.293774
156	S18	Hydro_RoR	2012010806	0.293774
154	S18	Hydro_RoR	2012010806	0.293774
153	S18	Hydro_RoR	2012010806	0.293774
152	S18	Hydro_RoR	2012010806	0.293774
118	S1	Hydro_RoR	2012010806	0.454036
190	S8	Hydro_RoR	2012010806	0.975
192	S8	Hydro_RoR	2012010806	0.975
187	S8	Hydro_RoR	2012010806	0.975
186	S8	Hydro_RoR	2012010806	0.975
177	S7	Hydro_RoR	2012010806	0
219	S22	CSP_Trough_6h_Storage	2012010806	-0.0104108
218	S21	CSP_Trough_6h_Storage	2012010806	-0.0104108
217	S20	CSP_Trough_6h_Storage	2012010806	-0.0104108
216	S20	CSP_Trough_6h_Storage	2012010806	-0.0104108
215	S19	CSP_Trough_6h_Storage	2012010806	-0.0104108
214	S19	CSP_Trough_6h_Storage	2012010806	-0.0103874
213	S17	CSP_Trough_6h_Storage	2012010806	-0.0104108
212	S17	CSP_Trough_6h_Storage	2012010806	-0.0104108
210	S22	CSP_Trough_No_Storage	2012010806	-0.00847488
209	S21	CSP_Trough_No_Storage	2012010806	-0.00847499
208	S20	CSP_Trough_No_Storage	2012010806	-0.00847493
207	S20	CSP_Trough_No_Storage	2012010806	-0.00847491
206	S19	CSP_Trough_No_Storage	2012010806	-0.008475
205	S19	CSP_Trough_No_Storage	2012010806	-0.00847496
204	S17	CSP_Trough_No_Storage	2012010806	-0.00847495
203	S17	CSP_Trough_No_Storage	2012010806	-0.00847499
42	S22	Central_PV	2012010806	0
41	S21	Central_PV	2012010806	0
40	S20	Central_PV	2012010806	0
39	S20	Central_PV	2012010806	0
38	S19	Central_PV	2012010806	0
37	S19	Central_PV	2012010806	0
36	S17	Central_PV	2012010806	0
35	S17	Central_PV	2012010806	0
34	S7	Wind	2012010806	0.037456
33	S7	Wind	2012010806	0.0189459
32	S5	Wind	2012010806	0
31	S5	Wind	2012010806	0
29	S22	Wind	2012010806	0
25	S21	Wind	2012010806	0.477664
23	S21	Wind	2012010806	0.63788
22	S20	Wind	2012010806	0.0991602
21	S20	Wind	2012010806	0.481064
20	S20	Wind	2012010806	0.374485
19	S20	Wind	2012010806	0.197055
16	S20	Wind	2012010806	0.00320894
15	S20	Wind	2012010806	0
12	S17	Wind	2012010806	0.228809
11	S17	Wind	2012010806	0.346188
8	S17	Wind	2012010806	0.184986
7	S17	Wind	2012010806	0.0339817
6	S17	Wind	2012010806	0.639633
4	S15	Wind	2012010806	0
3	S15	Wind	2012010806	0.0337289
2	S15	Wind	2012010806	0
1	S14	Wind	2012010806	0.0401887
172	S4	Hydro_RoR	2012010810	0.467742
173	S4	Hydro_RoR	2012010810	0.467742
176	S4	Hydro_RoR	2012010810	0.467742
180	S8	Hydro_RoR	2012010810	0
181	S8	Hydro_RoR	2012010810	0
188	S8	Hydro_RoR	2012010810	0
174	S4	Hydro_RoR	2012010810	0.65
175	S4	Hydro_RoR	2012010810	0.65
185	S8	Hydro_RoR	2012010810	0.497738
125	S1	Hydro_RoR	2012010810	0.285714
137	S1	Hydro_RoR	2012010810	0.285714
124	S1	Hydro_RoR	2012010810	0.285714
128	S1	Hydro_RoR	2012010810	0.285714
135	S1	Hydro_RoR	2012010810	0.285714
132	S1	Hydro_RoR	2012010810	0.285714
122	S1	Hydro_RoR	2012010810	0.285714
138	S11	Hydro_RoR	2012010810	1
171	S4	Hydro_RoR	2012010810	1
191	S8	Hydro_RoR	2012010810	0.554444
183	S8	Hydro_RoR	2012010810	0.554444
178	S7	Hydro_RoR	2012010810	0.373333
141	S15	Hydro_RoR	2012010810	0.373333
129	S1	Hydro_RoR	2012010810	0.437853
133	S1	Hydro_RoR	2012010810	0.437853
134	S1	Hydro_RoR	2012010810	0.437853
115	S1	Hydro_RoR	2012010810	0.437853
114	S1	Hydro_RoR	2012010810	0.437853
123	S1	Hydro_RoR	2012010810	0.437853
126	S1	Hydro_RoR	2012010810	0.437853
127	S1	Hydro_RoR	2012010810	0.437853
117	S1	Hydro_RoR	2012010810	0.437853
119	S1	Hydro_RoR	2012010810	0.242105
193	S8	Hydro_RoR	2012010810	0.242105
189	S8	Hydro_RoR	2012010810	0.242105
182	S8	Hydro_RoR	2012010810	1
179	S8	Hydro_RoR	2012010810	1
184	S8	Hydro_RoR	2012010810	1
136	S1	Hydro_RoR	2012010810	0.5
131	S1	Hydro_RoR	2012010810	0.5
121	S1	Hydro_RoR	2012010810	0.5
