ampl.tab 4 1
project_id	la_id	technology	date	average_output_mw
SIC63	S6	Hydro_NonPumped	20160403	46.4
SIC63	S6	Hydro_NonPumped	20160421	46.4
SIC63	S6	Hydro_NonPumped	20160520	56.9
SIC63	S6	Hydro_NonPumped	20160515	56.9
SIC63	S6	Hydro_NonPumped	20160630	156.6
SIC63	S6	Hydro_NonPumped	20160614	156.6
SIC63	S6	Hydro_NonPumped	20160711	171.7
SIC63	S6	Hydro_NonPumped	20160710	171.7
SIC63	S6	Hydro_NonPumped	20160827	195.5
SIC63	S6	Hydro_NonPumped	20160810	195.5
SIC63	S6	Hydro_NonPumped	20160921	265.3
SIC63	S6	Hydro_NonPumped	20160930	265.3
SIC63	S6	Hydro_NonPumped	20161001	154.1
SIC63	S6	Hydro_NonPumped	20161004	154.1
SIC63	S6	Hydro_NonPumped	20161116	146.6
SIC63	S6	Hydro_NonPumped	20161113	146.6
SIC63	S6	Hydro_NonPumped	20161225	159.2
SIC63	S6	Hydro_NonPumped	20161207	159.2
SIC63	S6	Hydro_NonPumped	20200108	14.2
SIC63	S6	Hydro_NonPumped	20200118	14.2
SIC63	S6	Hydro_NonPumped	20200220	19.3
SIC63	S6	Hydro_NonPumped	20200221	19.3
SIC63	S6	Hydro_NonPumped	20200325	41.6
SIC63	S6	Hydro_NonPumped	20200306	41.6
SIC63	S6	Hydro_NonPumped	20200403	73.3
SIC63	S6	Hydro_NonPumped	20200421	73.3
SIC63	S6	Hydro_NonPumped	20200515	42.1
SIC63	S6	Hydro_NonPumped	20200520	42.1
SIC63	S6	Hydro_NonPumped	20200630	102.0
SIC63	S6	Hydro_NonPumped	20200614	102.0
SIC63	S6	Hydro_NonPumped	20200711	98.9
SIC63	S6	Hydro_NonPumped	20200710	98.9
SIC63	S6	Hydro_NonPumped	20200827	85.7
SIC63	S6	Hydro_NonPumped	20200810	85.7
SIC63	S6	Hydro_NonPumped	20200921	115.6
SIC63	S6	Hydro_NonPumped	20200930	115.6
SIC63	S6	Hydro_NonPumped	20201004	64.3
SIC63	S6	Hydro_NonPumped	20201001	64.3
SIC63	S6	Hydro_NonPumped	20201116	61.2
SIC63	S6	Hydro_NonPumped	20201113	61.2
SIC63	S6	Hydro_NonPumped	20201207	26.5
SIC63	S6	Hydro_NonPumped	20201225	26.5
SIC63	S6	Hydro_NonPumped	20240116	95.5
SIC63	S6	Hydro_NonPumped	20240118	95.5
SIC63	S6	Hydro_NonPumped	20240220	50.0
SIC63	S6	Hydro_NonPumped	20240221	50.0
SIC63	S6	Hydro_NonPumped	20240325	59.4
SIC63	S6	Hydro_NonPumped	20240306	59.4
SIC63	S6	Hydro_NonPumped	20240421	59.7
SIC63	S6	Hydro_NonPumped	20240403	59.7
SIC63	S6	Hydro_NonPumped	20240515	103.9
SIC63	S6	Hydro_NonPumped	20240520	103.9
SIC63	S6	Hydro_NonPumped	20240614	206.5
SIC63	S6	Hydro_NonPumped	20240630	206.5
SIC63	S6	Hydro_NonPumped	20240710	210.4
SIC63	S6	Hydro_NonPumped	20240711	210.4
SIC63	S6	Hydro_NonPumped	20240827	238.9
SIC63	S6	Hydro_NonPumped	20240810	238.9
SIC63	S6	Hydro_NonPumped	20240921	159.2
SIC63	S6	Hydro_NonPumped	20240930	159.2
SIC63	S6	Hydro_NonPumped	20241004	163.8
SIC63	S6	Hydro_NonPumped	20241001	163.8
SIC63	S6	Hydro_NonPumped	20241113	105.3
SIC63	S6	Hydro_NonPumped	20241116	105.3
SIC63	S6	Hydro_NonPumped	20241225	162.3
SIC63	S6	Hydro_NonPumped	20241207	162.3
SIC63	S6	Hydro_NonPumped	20280116	99.6
SIC63	S6	Hydro_NonPumped	20280118	99.6
SIC63	S6	Hydro_NonPumped	20280221	70.9
SIC63	S6	Hydro_NonPumped	20280220	70.9
SIC63	S6	Hydro_NonPumped	20280325	58.3
SIC63	S6	Hydro_NonPumped	20280306	58.3
SIC63	S6	Hydro_NonPumped	20280421	57.6
SIC63	S6	Hydro_NonPumped	20280403	57.6
SIC63	S6	Hydro_NonPumped	20280520	94.9
SIC63	S6	Hydro_NonPumped	20280515	94.9
SIC63	S6	Hydro_NonPumped	20280630	190.4
SIC63	S6	Hydro_NonPumped	20280614	190.4
SIC63	S6	Hydro_NonPumped	20280710	209.3
SIC63	S6	Hydro_NonPumped	20280711	209.3
SIC63	S6	Hydro_NonPumped	20280827	155.8
SIC63	S6	Hydro_NonPumped	20280810	155.8
SIC63	S6	Hydro_NonPumped	20280930	219.5
SIC63	S6	Hydro_NonPumped	20280921	219.5
SIC63	S6	Hydro_NonPumped	20281001	109.1
SIC63	S6	Hydro_NonPumped	20281004	109.1
SIC63	S6	Hydro_NonPumped	20281113	131.8
SIC63	S6	Hydro_NonPumped	20281116	131.8
SIC63	S6	Hydro_NonPumped	20281225	140.6
SIC63	S6	Hydro_NonPumped	20281207	140.6
SIC64	S18	Hydro_NonPumped	20160108	115.3
SIC64	S18	Hydro_NonPumped	20160118	115.3
SIC64	S18	Hydro_NonPumped	20160221	142.5
SIC64	S18	Hydro_NonPumped	20160220	142.5
