ampl.tab 2 1
load_area	breakpoint_id	breakpoint_mbtus_per_year
CA_SMUD	8	3189147.47657489
CA_SMUD	9	3254265.96554054
CO_DEN	1	1265083.90053959
CO_DEN	2	2057663.95389041
CO_DEN	3	2102442.59433789
CO_DEN	4	2124171.63970249
CO_DEN	5	2258418.86896178
CO_DEN	6	2278383.17970285
CO_DEN	7	4290860.56267777
CO_DEN	8	7699676.27668532
CO_E	1	467143.100727838
CO_E	2	763795.537480152
CO_E	3	853589.512491935
CO_E	4	897162.460148444
CO_E	5	936206.098674711
CO_E	6	976240.248933943
CO_E	7	17498248.168257
CO_E	8	18796978.4425338
CO_NW	1	926012.288714847
CO_NW	2	1346584.21010802
CO_NW	3	1564666.36120194
CO_NW	4	1670491.74785134
CO_NW	5	2190319.05949627
CO_NW	6	2287549.7879251
CO_NW	7	2425553.59302818
CO_NW	8	3319207.75810214
CO_SW	1	697898.502527044
CO_SW	2	1010359.78806771
CO_SW	3	1321686.23137755
CO_SW	4	1472758.84863697
CO_SW	5	1876438.13674355
CO_SW	6	2015241.32045584
CO_SW	7	5371467.89334395
CO_SW	8	5999747.73753287
ID_E	1	265423.052672119
ID_E	2	652152.792949101
ID_E	3	815735.910559587
ID_E	4	895664.379314492
ID_E	5	924741.587658264
ID_E	6	999565.000396145
ID_E	7	8731526.53241438
ID_E	8	8735055.38383963
ID_E	9	12127193.6827941
ID_S_OR_E	1	1222895.34123462
ID_S_OR_E	2	18435639.2472693
ID_S_OR_E	3	19950356.85469
ID_S_OR_E	4	20692543.9356539
ID_S_OR_E	5	52289060.1497363
ID_S_OR_E	6	52982549.7036172
ID_S_OR_E	7	59891876.3053706
ID_S_OR_E	8	60106904.4845979
ID_S_OR_E	9	63803535.080999
MT_NE	1	258241.703641608
MT_NE	2	436172.779903768
MT_NE	3	1165010.69541722
MT_NE	4	1521882.51499555
MT_NE	5	1535741.96583403
MT_NE	6	1869648.92209811
MT_NE	7	5165825.8386601
MT_NE	8	5262214.24824646
MT_NE	9	14612579.4561355
MT_NW	1	568770.138172937
MT_NW	2	11446403.4660105
MT_NW	3	15876301.7432355
MT_NW	4	18045379.1542962
MT_NW	5	43248334.3373435
MT_NW	6	45277830.6339501
MT_NW	7	45399005.4513908
MT_NW	8	45505736.0328825
MT_NW	9	45849476.256038
MT_SE	1	167260.344106854
MT_SE	2	292227.832983232
MT_SE	3	718487.712389285
MT_SE	4	927191.543634388
MT_SE	5	959571.1145178
MT_SE	6	1154848.95989121
MT_SE	7	1443193.07383383
MT_SE	8	1504127.812982
MT_SE	9	2297213.54151624
MT_SW	1	203168.552250673
MT_SW	2	351036.010278427
MT_SW	3	1417725.92196741
MT_SW	4	1939916.32490952
MT_SW	5	1964742.73623825
MT_SW	6	2453366.17862609
MT_SW	7	2789995.84745926
MT_SW	8	2860654.93826948
MT_SW	9	3721860.17866324
NM_N	1	1463409.04719968
NM_N	2	2616414.33473523
NM_N	3	3027828.9791346
NM_N	4	3225308.02296529
NM_N	5	3812560.73985536
NM_N	6	3999836.66013623
NM_N	7	4455912.82470444
NM_N	8	4901637.26099765
NM_S_TX_EPE	1	1389302.77524353
NM_S_TX_EPE	2	2536074.81201178
NM_S_TX_EPE	3	2767552.61222786
NM_S_TX_EPE	4	2878661.95662647
NM_S_TX_EPE	5	3519101.5852747
NM_S_TX_EPE	6	3624470.28000384
NM_S_TX_EPE	7	4018988.81879512
NM_S_TX_EPE	8	4625972.17661709
NM_S_TX_EPE	9	4678826.59918594
NV_N	1	827396.881510121
NV_N	2	1465942.22746227
NV_N	3	1532924.99968653
NV_N	4	1559218.08955619
NV_N	5	1655632.12693148
NV_N	6	1684306.36800416
NV_N	7	1851858.2488844
NV_N	8	2017597.52186285
NV_S	1	1801598.12985775
NV_S	2	3005282.73198652
NV_S	3	3008192.35466098
NV_S	4	3008351.21082735
NV_S	5	3189682.72337644
OR_E	1	304037.125503352
OR_E	2	4756160.65784223
OR_E	3	6142758.91379289
OR_E	4	6810829.58818769
OR_E	5	16433149.4753325
OR_E	6	17055835.1448887
OR_E	7	17465608.8621917
OR_E	8	17734360.6992076
OR_E	9	18452828.2985245
OR_PDX	1	1490770.06145291
OR_PDX	2	6917531.25148279
OR_PDX	3	7674304.23977021
OR_PDX	4	8040721.48223406
OR_PDX	5	20084056.9117694
OR_PDX	6	20426463.738862
OR_PDX	7	20525109.7679659
OR_PDX	8	21183831.7744074
OR_PDX	9	21444229.4800935
OR_W	1	1827124.70597407
OR_W	2	28332132.7568386
OR_W	3	37129871.5670131
OR_W	4	41384930.038504
OR_W	5	109020192.251754
OR_W	6	112994644.507111
OR_W	7	113240460.47381
OR_W	8	114322619.935804
OR_W	9	114784970.20172
OR_WA_BPA	1	609673.428568591
OR_WA_BPA	2	5653376.78400429
OR_WA_BPA	3	6439180.97364819
OR_WA_BPA	4	6819385.76504111
OR_WA_BPA	5	15081927.3665521
OR_WA_BPA	6	15436523.4797613
OR_WA_BPA	7	21223067.7504255
OR_WA_BPA	8	21572852.9647684
OR_WA_BPA	9	26406174.3754758
UT_N	1	2248939.647718
UT_N	2	3836978.01511557
UT_N	3	3921489.08759444
UT_N	4	3961866.60003995
UT_N	5	4054126.53237718
UT_N	6	4091687.00906307
UT_N	7	4971669.12728254
UT_N	8	5020461.61577266
UT_S	1	662247.627898013
UT_S	2	1640937.76461398
UT_S	3	1858762.3551838
UT_S	4	1962893.96156563
UT_S	5	2522201.37789039
UT_S	6	2619023.51545119
UT_S	7	2911295.97768835
UT_S	8	3217369.34002455
WA_ID_AVA	1	1393964.60545515
WA_ID_AVA	2	19704012.5013419
WA_ID_AVA	3	27718448.7324573
WA_ID_AVA	4	31644939.6894742
WA_ID_AVA	5	62203664.9902057
WA_ID_AVA	6	65871165.3734858
WA_ID_AVA	7	78319835.6849771
WA_ID_AVA	8	78837412.3096537
WA_ID_AVA	9	82854859.3319152
WA_N_CEN	1	260059.537897
WA_N_CEN	2	844236.857488565
WA_N_CEN	3	1380551.04550572
WA_N_CEN	4	1639987.58361158
WA_N_CEN	5	2264669.71835901
WA_N_CEN	6	2506490.73354138
WA_N_CEN	7	8205028.35077094
WA_N_CEN	8	8370933.23805403
WA_N_CEN	9	9966757.51779425
WA_SEATAC	1	604680.16997792
WA_SEATAC	2	3142578.06008875
WA_SEATAC	3	3393723.89462319
WA_SEATAC	4	3515213.13978416
WA_SEATAC	5	6761425.72556726
WA_SEATAC	6	6874665.9530736
WA_SEATAC	7	6875127.28497512
WA_SEATAC	8	7259207.36063905
WA_SEATAC	9	7259336.55249474
WA_W	1	3526709.01972632
WA_W	2	37702962.1886317
WA_W	3	45083934.1821963
WA_W	4	48654404.3742153
WA_W	5	97048718.1675534
WA_W	6	100376756.433955
WA_W	7	100698161.050275
WA_W	8	102910734.065075
WA_W	9	103000740.54137
WY_NE	1	293545.867847483
WY_NE	2	976242.134255371
WY_NE	3	1621418.88494612
WY_NE	4	1934452.56570964
WY_NE	5	3098341.31817481
WY_NE	6	3395079.14866822
WY_NE	7	3516963.23631606
WY_NE	8	4510496.7040685
WY_NE	9	4588676.14900381
WY_NW	1	107101.884867098
WY_NW	2	179659.902551271
WY_NW	3	245416.559343724
WY_NW	4	277298.574786534
WY_NW	5	280617.44581887
WY_NW	6	310556.650935779
WY_NW	7	811608.944778866
WY_SE	1	1215176.39282766
WY_SE	2	2870359.12450123
WY_SE	3	2989490.21895649
WY_SE	4	3046931.01913446
WY_SE	5	5471335.43870767
WY_SE	6	5525246.33089429
WY_SE	7	7855186.5143755
WY_SE	8	7935979.02744491
WY_SW	1	92794.7550742791
WY_SW	2	155471.826069475
WY_SW	3	183316.253712695
WY_SW	4	196816.582204863
WY_SW	5	199151.844724188
WY_SW	6	211829.496911492
WY_SW	7	243598.976812023
