ampl.tab 2 1		
year	technology	finance_rate_schedule
2012	DistillateFuelOil_Combustion_Turbine	0.07
2012	Hydro_NonPumped	0.07
2012	Hydro_RoR_EP	0.07
2012	Hydro_RoR	0.07
2012	Hydro_NonPumped_New	0.07
2012	Hydro_RoR_RPS	0.07
2012	Geothermal	0.13
2013	Gas_Steam_Turbine_Cogen	0.07
2013	CCGT_Cogen	0.07
2013	CCGT_Cogen_CCS	0.07
2013	CCGT_CCS	0.07
2013	CCGT_Cogen_Existing	0.07
2013	Gas_Combustion_Turbine_Cogen	0.07
2013	Gas_Combustion_Turbine_Cogen_CCS	0.07
2013	Gas_Combustion_Turbine_CCS	0.07
2013	Gas_Combustion_Turbine_Cogen_Existing	0.07
2013	Gas_Internal_Combustion_Engine_Cogen	0.07
2013	Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2013	Gas_Internal_Combustion_Engine_Existing	0.07
2013	Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2013	Battery_Storage	0.07
2013	Gas_Steam_Turbine_Cogen_CCS	0.07
2013	Gas_Steam_Turbine_Existing	0.07
2013	Gas_Steam_Turbine_Cogen_Existing	0.07
2013	Bio_Gas	0.07
2013	Coal_Steam_Turbine_Cogen_CCS	0.07
2013	Bio_Gas_CCS	0.07
2013	Bio_Gas_Internal_Combustion_Engine_Cogen	0.07
2013	Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	0.07
2013	Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	0.07
2013	Bio_Gas_Steam_Turbine_Existing	0.07
2013	Bio_Liquid_Steam_Turbine_Cogen	0.07
2013	Bio_Liquid_Steam_Turbine_Cogen_CCS	0.07
2013	Biomass_IGCC	0.07
2013	Biomass_IGCC_CCS	0.07
2013	Bio_Solid_Steam_Turbine_Cogen	0.07
2013	Bio_Solid_Steam_Turbine_Cogen_CCS	0.07
2013	Bio_Gas_Internal_Combustion_Engine_EP	0.07
2013	Coal_Steam_Turbine_CCS	0.07
2013	Coal_Steam_Turbine_Cogen	0.07
2013	Coal_Steam_Turbine_Cogen_Existing	0.07
2013	Coal_IGCC	0.07
2013	Coal_IGCC_CCS	0.07
2013	Nuclear_Existing	0.07
2013	Geothermal_Existing	0.07
2013	Residential_PV	0.07
2013	Commercial_PV	0.08
2013	Concentrating_PV	0.08
2013	CSP_Trough_No_Storage	0.08
2013	Offshore_Wind	0.07
2013	Hydro_Pumped	0.07
2013	Compressed_Air_Energy_Storage	0.07
2013	Coal_IGCC_Existing	0.07
2013	CCGT	0.07
2013	Gas_Combustion_Turbine	0.07
2013	CCGT_EP	0.07
2013	Gas_Combustion_Turbine_EP	0.07
2013	Coal_Steam_Turbine	0.07
2013	Bio_Liquid_Steam_Turbine_Cogen_EP	0.07
2013	Bio_Solid_Steam_Turbine_EP	0.07
2013	Bio_Solid_Steam_Turbine_Cogen_EP	0.07
2013	Central_PV	0.08
2013	CSP_Trough_6h_Storage	0.08
2013	Wind	0.08
2013	Wind_EP	0.07
2013	Nuclear	0.07
2013	DistillateFuelOil_Internal_Combustion_Engine	0.07
2013	DistillateFuelOil_Combustion_Turbine_EP	0.07
2013	DistillateFuelOil_Internal_Combustion_Engine_EP	0.07
2013	Coal_Steam_Turbine_EP	0.07
2013	Biomass_Steam_Turbine	0.07
2013	DistillateFuelOil_Combustion_Turbine	0.07
2013	Hydro_NonPumped	0.07
2013	Hydro_RoR_EP	0.07
2013	Hydro_RoR	0.07
2013	Hydro_NonPumped_New	0.07
2013	Hydro_RoR_RPS	0.07
2013	Geothermal	0.13
2014	Gas_Steam_Turbine_Cogen	0.07
2014	CCGT_Cogen	0.07
2014	CCGT_Cogen_CCS	0.07
2014	CCGT_CCS	0.07
2014	CCGT_Cogen_Existing	0.07
2014	Gas_Combustion_Turbine_Cogen	0.07
2014	Gas_Combustion_Turbine_Cogen_CCS	0.07
2014	Gas_Combustion_Turbine_CCS	0.07
2014	Gas_Combustion_Turbine_Cogen_Existing	0.07
2014	Gas_Internal_Combustion_Engine_Cogen	0.07
