ampl.tab 2 1
province	hour	system_load
Hunan	2021010516	25305.334037793
Zhejiang	2021010516	58105.6131156541
East_Inner_Mongolia	2021010516	10140.5684422778
Henan	2021010516	52765.2584486276
Guizhou	2021010516	18074.839625538
Guangxi	2021010516	22108.6834836434
Tianjin	2021010516	13966.3308416954
Guangdong	2021010516	79151.8318048964
Liaoning	2021010516	36822.2814207214
Hubei	2021010516	28457.2540318522
Beijing	2021010516	13368.5554667864
Heilongjiang	2021010516	15472.0089151171
West_Inner_Mongolia	2021010516	27045.4371795786
Jiangsu	2021010516	79362.8200660366
Hebei	2021010516	62700.3444555868
Hainan	2021010516	4023.2881754745
Shaanxi	2021010516	18322.0204270164
Gansu	2021010516	16114.834028425
Shanxi	2021010516	35718.3781624975
Ningxia	2021010516	11465.5915930916
Yunnan	2021010516	20987.6608688589
Anhui	2021010516	23150.800660878
Qinghai	2021010516	9028.75640153843
Sichuan	2021010516	31853.881195499
Shandong	2021010516	70224.9958767955
Shanghai	2021010516	25194.6589593226
Fujian	2021010516	28500.4798942026
Xinjiang	2021010516	16840.5771065897
Chongqing	2021010516	14368.1079367382
Macau	2021010520	390.166216272002
Hong_Kong	2021010520	4733.71691788222
Taiwan	2021010520	25838.6733427395
Tibet	2021010520	541.532717812454
Jilin	2021010520	11867.3136245023
Jiangxi	2021010520	13810.2761664344
Hunan	2021010520	24960.7094042621
Zhejiang	2021010520	57314.2927720393
East_Inner_Mongolia	2021010520	10002.4675313001
Henan	2021010520	52046.6665569393
Guizhou	2021010520	17828.6846064903
Guangxi	2021010520	21807.5929336422
Tianjin	2021010520	13776.1281895233
Guangdong	2021010520	78073.8902535884
Liaoning	2021010520	36320.8114452041
Hubei	2021010520	28069.704484892
Beijing	2021010520	13186.4937116759
Heilongjiang	2021010520	15261.3009515551
West_Inner_Mongolia	2021010520	26677.1146803467
Jiangsu	2021010520	78282.0051382276
Hebei	2021010520	61846.4500474751
Hainan	2021010520	3968.49639872927
Shaanxi	2021010520	18072.4991377191
Gansu	2021010520	15895.3716509214
Shanxi	2021010520	35231.9418654627
Ningxia	2021010520	11309.445647929
Yunnan	2021010520	20701.8371399644
Anhui	2021010520	22835.5178757629
Qinghai	2021010520	8905.79687602995
Sichuan	2021010520	31420.0741524012
Shandong	2021010520	69268.6258311518
Shanghai	2021010520	24851.5415715882
Fujian	2021010520	28112.3416691025
Xinjiang	2021010520	16611.2310839235
Chongqing	2021010520	14172.4336206104
Macau	2021011900	358.614307797222
Hong_Kong	2021011900	4350.91134243892
Taiwan	2021011900	23749.155023574
Tibet	2021011900	497.740123692502
Jilin	2021011900	10907.6293214904
Jiangxi	2021011900	12693.4686330241
Hunan	2021011900	22942.19015338
Zhejiang	2021011900	52679.4083447843
East_Inner_Mongolia	2021011900	9193.58934834249
Henan	2021011900	47837.7638095084
Guizhou	2021011900	16386.916966266
Guangxi	2021011900	20044.0594763584
Tianjin	2021011900	12662.0821300622
Guangdong	2021011900	71760.2215226343
Liaoning	2021011900	33383.6250086165
Hubei	2021011900	25799.7674429724
Beijing	2021011900	12120.1301329185
Heilongjiang	2021011900	14027.1521433101
West_Inner_Mongolia	2021011900	24519.7934012058
Jiangsu	2021011900	71951.5066011075
Hebei	2021011900	56845.0597425093
Hainan	2021011900	3647.5725720802
Shaanxi	2021011900	16611.0147371673
Gansu	2021011900	14609.9468996588
Shanxi	2021011900	32382.8099858515
Ningxia	2021011900	10394.8749365192
Yunnan	2021011900	19027.7237917072
Anhui	2021011900	20988.858324163
Qinghai	2021011900	8185.60410636282
Sichuan	2021011900	28879.199872204
Shandong	2021011900	63667.0200250904
Shanghai	2021011900	22841.8504901407
Fujian	2021011900	25838.9566491732
Xinjiang	2021011900	15267.9163094634
Chongqing	2021011900	13026.3391874864
Macau	2021011904	332.44931909447
Hong_Kong	2021011904	4033.4629204257
Taiwan	2021011904	22016.3843019911
Tibet	2021011904	461.424325827892
Jilin	2021011904	10111.7938186526
Jiangxi	2021011904	11767.3358598454
Hunan	2021011904	21268.2966886524
Zhejiang	2021011904	48835.8469077757
East_Inner_Mongolia	2021011904	8522.81253825173
Henan	2021011904	44347.4553571516
Guizhou	2021011904	15191.3051683739
Guangxi	2021011904	18581.6175760961
Tianjin	2021011904	11738.2393589206
Guangdong	2021011904	66524.4979482464
Liaoning	2021011904	30947.910224751
Hubei	2021011904	23917.3812442022
Beijing	2021011904	11235.8289181911
Heilongjiang	2021011904	13003.7120033561
West_Inner_Mongolia	2021011904	22730.7958531795
Jiangsu	2021011904	66701.8266066648
Hebei	2021011904	52697.5667015706
Hainan	2021011904	3381.44070543166
Shaanxi	2021011904	15399.0524604559
Gansu	2021011904	13543.9852599087
Shanxi	2021011904	30020.1160301985
Ningxia	2021011904	9636.45069251407
Yunnan	2021011904	17639.4351283039
Anhui	2021011904	19457.4826121657
Qinghai	2021011904	7588.37127345173
Sichuan	2021011904	26772.1340860057
Shandong	2021011904	59021.7874633256
Shanghai	2021011904	21175.2779440101
Fujian	2021011904	23953.7111525021
Xinjiang	2021011904	14153.9483247349
Chongqing	2021011904	12075.919724938
Macau	2021011908	344.762252834953
Hong_Kong	2021011908	4182.85038742119
Taiwan	2021011908	22831.8056776577
Tibet	2021011908	478.51411011634
Jilin	2021011908	10486.3045790465
Jiangxi	2021011908	12203.1629721972
Hunan	2021011908	22056.0111246862
Zhejiang	2021011908	50644.5813902937
East_Inner_Mongolia	2021011908	8838.47215924867
Henan	2021011908	45989.9531696271
Guizhou	2021011908	15753.9459175838
Guangxi	2021011908	19269.8254106877
Tianjin	2021011908	12172.9888234405
Guangdong	2021011908	68988.3674414574
Liaoning	2021011908	32094.1287492519
Hubei	2021011908	24803.2098911306
Beijing	2021011908	11651.9705946605
Heilongjiang	2021011908	13485.3308098369
West_Inner_Mongolia	2021011908	23572.6769073233
Jiangsu	2021011908	69172.2638258298
Hebei	2021011908	54649.3277966106
Hainan	2021011908	3506.67920935388
Shaanxi	2021011908	15969.387551315
Gansu	2021011908	14045.614180496
Shanxi	2021011908	31131.9718179266
Ningxia	2021011908	9993.3561576645
Yunnan	2021011908	18292.7473280279
Anhui	2021011908	20178.1298819895
Qinghai	2021011908	7869.421969969
Sichuan	2021011908	27763.6942852871
Shandong	2021011908	61207.7788807851
Shanghai	2021011908	21959.5472424736
Fujian	2021011908	24840.8853511523
Xinjiang	2021011908	14678.1684625994
Chongqing	2021011908	12523.175865614
Macau	2021011912	415.561648868088
Hong_Kong	2021011912	5041.82865053213
Taiwan	2021011912	27520.4803774889
Tibet	2021011912	576.780407284866
Jilin	2021011912	12639.7422733158
Jiangxi	2021011912	14709.1698248067
Hunan	2021011912	26585.3708608155
Zhejiang	2021011912	61044.8086347196
East_Inner_Mongolia	2021011912	10653.5156728147
Henan	2021011912	55434.3191964395
Guizhou	2021011912	18989.1314604673
Guangxi	2021011912	23227.0219701201
Tianjin	2021011912	14672.7991986507
Guangdong	2021011912	83155.622435308
Liaoning	2021011912	38684.8877809388
Hubei	2021011912	29896.7265552528
Beijing	2021011912	14044.7861477389
Heilongjiang	2021011912	16254.6400041951
West_Inner_Mongolia	2021011912	28413.4948164744
Jiangsu	2021011912	83377.283258331
Hebei	2021011912	65871.9583769633
Hainan	2021011912	4226.80088178958
Shaanxi	2021011912	19248.8155755698
Gansu	2021011912	16929.9815748859
Shanxi	2021011912	37525.1450377482
Ningxia	2021011912	12045.5633656426
Yunnan	2021011912	22049.2939103799
Anhui	2021011912	24321.8532652071
Qinghai	2021011912	9485.46409181466
Sichuan	2021011912	33465.1676075071
Shandong	2021011912	73777.234329157
Shanghai	2021011912	26469.0974300126
Fujian	2021011912	29942.1389406276
Xinjiang	2021011912	17692.4354059186
Chongqing	2021011912	15094.8996561725
Macau	2021011916	395.553118027124
Hong_Kong	2021011916	4799.07385272101
Taiwan	2021011916	26195.4197471565
Tibet	2021011916	549.009489061162
Jilin	2021011916	12031.1618766735
Jiangxi	2021011916	14000.9502889418
Hunan	2021011916	25305.334037793
Zhejiang	2021011916	58105.6131156541
East_Inner_Mongolia	2021011916	10140.5684422778
Henan	2021011916	52765.2584486276
Guizhou	2021011916	18074.839625538
Guangxi	2021011916	22108.6834836434
Tianjin	2021011916	13966.3308416954
Guangdong	2021011916	79151.8318048964
Liaoning	2021011916	36822.2814207214
Hubei	2021011916	28457.2540318522
Beijing	2021011916	13368.5554667864
Heilongjiang	2021011916	15472.0089151171
West_Inner_Mongolia	2021011916	27045.4371795786
Jiangsu	2021011916	79362.8200660366
Hebei	2021011916	62700.3444555868
Hainan	2021011916	4023.2881754745
Shaanxi	2021011916	18322.0204270164
Gansu	2021011916	16114.834028425
Shanxi	2021011916	35718.3781624975
Ningxia	2021011916	11465.5915930916
Yunnan	2021011916	20987.6608688589
Anhui	2021011916	23150.800660878
Qinghai	2021011916	9028.75640153843
Sichuan	2021011916	31853.881195499
Shandong	2021011916	70224.9958767955
Shanghai	2021011916	25194.6589593226
Fujian	2021011916	28500.4798942026
Xinjiang	2021011916	16840.5771065897
Chongqing	2021011916	14368.1079367382
Macau	2021011920	390.166216272002
Hong_Kong	2021011920	4733.71691788222
Taiwan	2021011920	25838.6733427395
Tibet	2021011920	541.532717812454
Jilin	2021011920	11867.3136245023
Jiangxi	2021011920	13810.2761664344
Hunan	2021011920	24960.7094042621
Zhejiang	2021011920	57314.2927720393
East_Inner_Mongolia	2021011920	10002.4675313001
Henan	2021011920	52046.6665569393
Guizhou	2021011920	17828.6846064903
Guangxi	2021011920	21807.5929336422
Tianjin	2021011920	13776.1281895233
Guangdong	2021011920	78073.8902535884
Liaoning	2021011920	36320.8114452041
Hubei	2021011920	28069.704484892
Beijing	2021011920	13186.4937116759
Heilongjiang	2021011920	15261.3009515551
West_Inner_Mongolia	2021011920	26677.1146803467
Jiangsu	2021011920	78282.0051382276
Hebei	2021011920	61846.4500474751
Hainan	2021011920	3968.49639872927
Shaanxi	2021011920	18072.4991377191
Gansu	2021011920	15895.3716509214
Shanxi	2021011920	35231.9418654627
Ningxia	2021011920	11309.445647929
Yunnan	2021011920	20701.8371399644
Anhui	2021011920	22835.5178757629
Qinghai	2021011920	8905.79687602995
Sichuan	2021011920	31420.0741524012
Shandong	2021011920	69268.6258311518
Shanghai	2021011920	24851.5415715882
Fujian	2021011920	28112.3416691025
Xinjiang	2021011920	16611.2310839235
Chongqing	2021011920	14172.4336206104
Macau	2021021100	381.467181513734
Hong_Kong	2021021100	4628.17531461908
Taiwan	2021021100	25262.5816460681
Tibet	2021021100	529.45885867621
Jilin	2021021100	11602.7233821866
Jiangxi	2021021100	13502.3661850399
Hunan	2021021100	24404.1925413379
Zhejiang	2021021100	56036.4296353142
East_Inner_Mongolia	2021021100	9779.455365986
Henan	2021021100	50886.2489130007
Guizhou	2021021100	17431.181335787
Guangxi	2021021100	21321.3770568897
Tianjin	2021021100	13468.9795616896
Guangdong	2021021100	76333.1770480256
Liaoning	2021021100	35511.0129848728
Hubei	2021021100	27443.8703537325
Beijing	2021021100	12892.4914061109
Heilongjiang	2021021100	14921.0393351023
West_Inner_Mongolia	2021021100	26082.3293345729
Jiangsu	2021021100	76536.6518625109
Hebei	2021021100	60467.5392238292
Hainan	2021021100	3880.01593406869
Shaanxi	2021021100	17669.5598477162
Gansu	2021021100	15540.9729748695
Shanxi	2021021100	34446.420530947
Ningxia	2021021100	11057.2934710233
Yunnan	2021021100	20240.2748792406
Anhui	2021021100	22326.3836774657
Qinghai	2021021100	8707.23576708799
Sichuan	2021021100	30719.5411340105
Shandong	2021021100	67724.232291598
Shanghai	2021021100	24297.4586835478
Fujian	2021021100	27485.5569114356
Xinjiang	2021021100	16240.8718099777
Chongqing	2021021100	13856.4490798346
Macau	2021021104	353.63481599523
Hong_Kong	2021021104	4290.49733527354
Taiwan	2021021104	23419.3892552461
Tibet	2021021104	490.828818673265
Jilin	2021021104	10756.172869239
Jiangxi	2021021104	12517.2151439059
Hunan	2021021104	22623.6293896162
Zhejiang	2021021104	51947.9353491921
East_Inner_Mongolia	2021021104	9065.93297268879
Henan	2021021104	47173.5188322841
Guizhou	2021021104	16159.3785861198
Guangxi	2021021104	19765.7403249161
Tianjin	2021021104	12486.2644541025
Guangdong	2021021104	70763.804405381
Liaoning	2021021104	32920.0810745435
Hubei	2021021104	25441.5281656142
Beijing	2021021104	11951.8376601316
Heilongjiang	2021021104	13832.3799672306
West_Inner_Mongolia	2021021104	24179.3270350482
Jiangsu	2021021104	70952.433420057
Hebei	2021021104	56055.7451423467
Hainan	2021021104	3596.92468289973
Shaanxi	2021021104	16380.3646768991
Gansu	2021021104	14407.0824036457
Shanxi	2021021104	31933.1627371389
Ningxia	2021021104	10250.5382678373
Yunnan	2021021104	18763.5168357345
Anhui	2021021104	20697.42029259
Qinghai	2021021104	8071.94397720525
Sichuan	2021021104	28478.2015408908
Shandong	2021021104	62782.9799927237
Shanghai	2021021104	22524.6829795731
Fujian	2021021104	25480.1732152469
Xinjiang	2021021104	15055.9156657538
Chongqing	2021021104	12845.463668067
Macau	2021021108	366.732397513933
Hong_Kong	2021021108	4449.40459231602
Taiwan	2021021108	24286.7737604328
Tibet	2021021108	509.007657898157
Jilin	2021021108	11154.549512635
Jiangxi	2021021108	12980.8155540438
Hunan	2021021108	23461.5413167705
Zhejiang	2021021108	53871.9323290979
East_Inner_Mongolia	2021021108	9401.70815879063
Henan	2021021108	48920.6856283222
Guizhou	2021021108	16757.8738946986
Guangxi	2021021108	20497.8045433515
