ampl.tab 2 1
load_area	period	max_system_load
NV_S	2015	7008.49
NV_S	2025	7741.73
NV_S	2035	8551.68
NV_S	2045	9446.38
OR_E	2011	810.41
OR_E	2015	843.32
OR_E	2025	931.55
OR_E	2035	1029.01
OR_E	2045	1136.66
OR_PDX	2011	5326.39
OR_PDX	2015	5542.67
OR_PDX	2025	6122.55
OR_PDX	2035	6763.11
OR_PDX	2045	7470.68
OR_W	2011	4656.54
OR_W	2015	4845.61
OR_W	2025	5352.57
OR_W	2035	5912.57
OR_W	2045	6531.15
OR_WA_BPA	2011	2027.16
OR_WA_BPA	2015	2109.47
OR_WA_BPA	2025	2330.17
OR_WA_BPA	2035	2573.95
OR_WA_BPA	2045	2843.25
UT_N	2011	5690.57
UT_N	2015	5921.63
UT_N	2025	6541.17
UT_N	2035	7225.52
UT_N	2045	7981.46
UT_S	2011	1518.26
UT_S	2015	1579.91
UT_S	2025	1745.20
UT_S	2035	1927.79
UT_S	2045	2129.48
WA_ID_AVA	2011	2956.94
WA_ID_AVA	2015	3077.00
WA_ID_AVA	2025	3398.92
WA_ID_AVA	2035	3754.53
WA_ID_AVA	2045	4147.33
WA_N_CEN	2011	1685.04
WA_N_CEN	2015	1753.45
WA_N_CEN	2025	1936.90
WA_N_CEN	2035	2139.55
WA_N_CEN	2045	2363.39
WA_SEATAC	2011	7246.08
WA_SEATAC	2015	7540.30
WA_SEATAC	2025	8329.19
WA_SEATAC	2035	9200.60
WA_SEATAC	2045	10163.19
WA_W	2011	4427.34
WA_W	2015	4607.11
WA_W	2025	5089.11
WA_W	2035	5621.55
WA_W	2045	6209.68
WY_NE	2011	960.26
WY_NE	2015	999.25
WY_NE	2025	1103.79
WY_NE	2035	1219.27
WY_NE	2045	1346.83
WY_NW	2011	306.69
WY_NW	2015	319.15
WY_NW	2025	352.54
WY_NW	2035	389.42
WY_NW	2045	430.16
WY_SE	2011	1060.71
WY_SE	2015	1103.78
WY_SE	2025	1219.26
WY_SE	2035	1346.82
WY_SE	2045	1487.73
WY_SW	2011	278.05
WY_SW	2015	289.34
WY_SW	2025	319.61
WY_SW	2035	353.05
WY_SW	2045	389.98
