ampl.tab 4 1
project_id	load_area	technology	hour	cap_factor
1157628447	CA_SCE_CEN	Wind_EP	451208521	0
1157628447	CA_SCE_CEN	Wind_EP	451212517	0.000166004
1157628447	CA_SCE_CEN	Wind_EP	451212521	0.0674852
1157628447	CA_SCE_CEN	Wind_EP	451216517	0.117391
1157628447	CA_SCE_CEN	Wind_EP	451216521	0
1157628447	CA_SCE_CEN	Wind_EP	451220517	0.0220255
1157628447	CA_SCE_CEN	Wind_EP	451220521	0.0474747
1157628448	CA_SCE_CEN	Wind_EP	151200408	0.574341
1157628448	CA_SCE_CEN	Wind_EP	151200516	0.841481
1157628448	CA_SCE_CEN	Wind_EP	151204408	0.363618
1157628448	CA_SCE_CEN	Wind_EP	151204516	0.276388
1157628448	CA_SCE_CEN	Wind_EP	151208408	0.361942
1157628448	CA_SCE_CEN	Wind_EP	151208516	0.148286
1157628448	CA_SCE_CEN	Wind_EP	151212408	1
1157628448	CA_SCE_CEN	Wind_EP	151212516	0.0778046
1157628448	CA_SCE_CEN	Wind_EP	151216408	0.990593
1157628448	CA_SCE_CEN	Wind_EP	151216516	0.0431306
1157628448	CA_SCE_CEN	Wind_EP	151220408	0.218648
1157628448	CA_SCE_CEN	Wind_EP	151220516	0
1157628448	CA_SCE_CEN	Wind_EP	251200501	1
1157628448	CA_SCE_CEN	Wind_EP	251200515	0.120394
1157628448	CA_SCE_CEN	Wind_EP	251204501	1
1157628448	CA_SCE_CEN	Wind_EP	251204515	0.267747
1157628448	CA_SCE_CEN	Wind_EP	251208501	0.693801
1157628448	CA_SCE_CEN	Wind_EP	251208515	0.043481
1157628448	CA_SCE_CEN	Wind_EP	251212501	0.644444
1157628448	CA_SCE_CEN	Wind_EP	251212515	0.886129
1157628448	CA_SCE_CEN	Wind_EP	251216501	0.825984
1157628448	CA_SCE_CEN	Wind_EP	251216515	0.62791
1157628448	CA_SCE_CEN	Wind_EP	251220501	0.824972
1157628448	CA_SCE_CEN	Wind_EP	251220515	0.82948
1157628448	CA_SCE_CEN	Wind_EP	351200508	0.118829
1157628448	CA_SCE_CEN	Wind_EP	351200518	0.236472
1157628448	CA_SCE_CEN	Wind_EP	351204508	0.288874
1157628448	CA_SCE_CEN	Wind_EP	351204518	0.415564
1157628448	CA_SCE_CEN	Wind_EP	351208508	0.326364
1157628448	CA_SCE_CEN	Wind_EP	351208518	0.297872
1157628448	CA_SCE_CEN	Wind_EP	351212508	0.45468
1157628448	CA_SCE_CEN	Wind_EP	351212518	0.836125
1157628448	CA_SCE_CEN	Wind_EP	351216508	0.174259
1157628448	CA_SCE_CEN	Wind_EP	351216518	0
1157628448	CA_SCE_CEN	Wind_EP	351220508	0.273836
