ampl.tab 2 1
load_area	rps_compliance_year	rps_compliance_fraction
OR_WA_BPA	2021	0.159938
UT_N	2021	0
UT_S	2021	0.00148701
WA_ID_AVA	2021	0.097718
WA_N_CEN	2021	0.15
WA_SEATAC	2021	0.148616
WA_W	2021	0.15
WY_NE	2021	0.063678
CAN_ALB	2021	0
CAN_BC	2021	0
MEX_BAJA	2021	0
WY_NW	2021	0
WY_SE	2021	0
WY_SW	2021	0
AZ_APS_E	2022	0.12
AZ_APS_N	2022	0.12
AZ_APS_SW	2022	0.12
AZ_NM_N	2022	0.176273
AZ_NW	2022	0.120016
AZ_PHX	2022	0.12
AZ_SE	2022	0.12
CA_IID	2022	0.33
CA_LADWP	2022	0.33
CA_PGE_BAY	2022	0.33
CA_PGE_CEN	2022	0.33
CA_PGE_N	2022	0.33
CA_PGE_S	2022	0.33
CA_SCE_CEN	2022	0.33
CA_SCE_S	2022	0.33
CA_SCE_SE	2022	0.329834
CA_SCE_VLY	2022	0.33
CA_SDGE	2022	0.33
CA_SMUD	2022	0.33
CO_DEN	2022	0.3
CO_E	2022	0.3
CO_NW	2022	0.3
CO_SW	2022	0.3
ID_E	2022	0.000436218
ID_S_OR_E	2022	0.0188337
MT_NE	2022	0.15
MT_NW	2022	0.15
MT_SE	2022	0.149301
MT_SW	2022	0.14539
NM_N	2022	0.2
NM_S_TX_EPE	2022	0.0968296
NV_N	2022	0.223027
NV_S	2022	0.220136
OR_E	2022	0.209065
OR_PDX	2022	0.190995
OR_W	2022	0.20592
OR_WA_BPA	2022	0.159938
UT_N	2022	0
UT_S	2022	0.00148701
WA_ID_AVA	2022	0.097718
WA_N_CEN	2022	0.15
WA_SEATAC	2022	0.148616
WA_W	2022	0.15
WY_NE	2022	0.063678
CAN_ALB	2022	0
CAN_BC	2022	0
MEX_BAJA	2022	0
WY_NW	2022	0
WY_SE	2022	0
WY_SW	2022	0
AZ_APS_E	2023	0.13
AZ_APS_N	2023	0.13
AZ_APS_SW	2023	0.13
AZ_NM_N	2023	0.179239
AZ_NW	2023	0.130015
AZ_PHX	2023	0.13
AZ_SE	2023	0.13
CA_IID	2023	0.33
CA_LADWP	2023	0.33
CA_PGE_BAY	2023	0.33
CA_PGE_CEN	2023	0.33
CA_PGE_N	2023	0.33
CA_PGE_S	2023	0.33
CA_SCE_CEN	2023	0.33
CA_SCE_S	2023	0.33
CA_SCE_SE	2023	0.329842
CA_SCE_VLY	2023	0.33
CA_SDGE	2023	0.33
CA_SMUD	2023	0.33
CO_DEN	2023	0.3
CO_E	2023	0.3
CO_NW	2023	0.3
CO_SW	2023	0.3
ID_E	2023	0.000436218
ID_S_OR_E	2023	0.0188337
MT_NE	2023	0.15
MT_NW	2023	0.15
MT_SE	2023	0.149301
MT_SW	2023	0.14539
NM_N	2023	0.2
NM_S_TX_EPE	2023	0.0968296
NV_N	2023	0.223027
NV_S	2023	0.220136
OR_E	2023	0.209065
OR_PDX	2023	0.190995
OR_W	2023	0.20592
OR_WA_BPA	2023	0.159938
UT_N	2023	0
UT_S	2023	0.00148701
WA_ID_AVA	2023	0.097718
WA_N_CEN	2023	0.15
WA_SEATAC	2023	0.148616
WA_W	2023	0.15
WY_NE	2023	0.063678
CAN_ALB	2023	0
CAN_BC	2023	0
MEX_BAJA	2023	0
WY_NW	2023	0
WY_SE	2023	0
WY_SW	2023	0
AZ_APS_E	2024	0.14
AZ_APS_N	2024	0.14
AZ_APS_SW	2024	0.14
AZ_NM_N	2024	0.182205
AZ_NW	2024	0.140014
AZ_PHX	2024	0.14
AZ_SE	2024	0.14
CA_IID	2024	0.33
CA_LADWP	2024	0.33
CA_PGE_BAY	2024	0.33
CA_PGE_CEN	2024	0.33
CA_PGE_N	2024	0.33
CA_PGE_S	2024	0.33
CA_SCE_CEN	2024	0.33
CA_SCE_S	2024	0.33
CA_SCE_SE	2024	0.32985
CA_SCE_VLY	2024	0.33
CA_SDGE	2024	0.33
CA_SMUD	2024	0.33
CO_DEN	2024	0.3
CO_E	2024	0.3
CO_NW	2024	0.3
CO_SW	2024	0.3
ID_E	2024	0.000436218
ID_S_OR_E	2024	0.0188337
MT_NE	2024	0.15
MT_NW	2024	0.15
MT_SE	2024	0.149301
MT_SW	2024	0.14539
NM_N	2024	0.2
NM_S_TX_EPE	2024	0.0968296
NV_N	2024	0.223027
NV_S	2024	0.220136
OR_E	2024	0.209065
OR_PDX	2024	0.190995
OR_W	2024	0.20592
OR_WA_BPA	2024	0.159938
UT_N	2024	0
UT_S	2024	0.00148701
WA_ID_AVA	2024	0.097718
WA_N_CEN	2024	0.15
WA_SEATAC	2024	0.148616
WA_W	2024	0.15
WY_NE	2024	0.063678
CAN_ALB	2024	0
CAN_BC	2024	0
MEX_BAJA	2024	0
WY_NW	2024	0
WY_SE	2024	0
WY_SW	2024	0
AZ_APS_E	2025	0.15
AZ_APS_N	2025	0.15
AZ_APS_SW	2025	0.15
AZ_NM_N	2025	0.185171
AZ_NW	2025	0.150013
AZ_PHX	2025	0.15
AZ_SE	2025	0.15
CA_IID	2025	0.33
CA_LADWP	2025	0.33
CA_PGE_BAY	2025	0.33
CA_PGE_CEN	2025	0.33
CA_PGE_N	2025	0.33
CA_PGE_S	2025	0.33
CA_SCE_CEN	2025	0.33
CA_SCE_S	2025	0.33
CA_SCE_SE	2025	0.329858
CA_SCE_VLY	2025	0.33
CA_SDGE	2025	0.33
CA_SMUD	2025	0.33
CO_DEN	2025	0.3
CO_E	2025	0.3
CO_NW	2025	0.3
CO_SW	2025	0.3
ID_E	2025	0.000436218
ID_S_OR_E	2025	0.0235421
MT_NE	2025	0.15
MT_NW	2025	0.15
MT_SE	2025	0.149301
MT_SW	2025	0.14539
NM_N	2025	0.2
NM_S_TX_EPE	2025	0.11147
NV_N	2025	0.252446
NV_S	2025	0.250099
OR_E	2025	0.255578
OR_PDX	2025	0.231989
OR_W	2025	0.253643
OR_WA_BPA	2025	0.169875
UT_N	2025	0.2
UT_S	2025	0.200496
WA_ID_AVA	2025	0.097718
WA_N_CEN	2025	0.15
WA_SEATAC	2025	0.148616
WA_W	2025	0.15
WY_NE	2025	0.063678
CAN_ALB	2025	0
CAN_BC	2025	0
MEX_BAJA	2025	0
WY_NW	2025	0
WY_SE	2025	0
WY_SW	2025	0
AZ_APS_E	2026	0.15
AZ_APS_N	2026	0.15
AZ_APS_SW	2026	0.15
AZ_NM_N	2026	0.185171
AZ_NW	2026	0.150013
AZ_PHX	2026	0.15
AZ_SE	2026	0.15
CA_IID	2026	0.33
CA_LADWP	2026	0.33
CA_PGE_BAY	2026	0.33
CA_PGE_CEN	2026	0.33
CA_PGE_N	2026	0.33
CA_PGE_S	2026	0.33
CA_SCE_CEN	2026	0.33
CA_SCE_S	2026	0.33
CA_SCE_SE	2026	0.329858
CA_SCE_VLY	2026	0.33
CA_SDGE	2026	0.33
CA_SMUD	2026	0.33
CO_DEN	2026	0.3
CO_E	2026	0.3
CO_NW	2026	0.3
CO_SW	2026	0.3
ID_E	2026	0.000436218
ID_S_OR_E	2026	0.0235421
MT_NE	2026	0.15
MT_NW	2026	0.15
MT_SE	2026	0.149301
MT_SW	2026	0.14539
NM_N	2026	0.2
NM_S_TX_EPE	2026	0.11147
NV_N	2026	0.252446
NV_S	2026	0.250099
OR_E	2026	0.255578
OR_PDX	2026	0.231989
OR_W	2026	0.253643
OR_WA_BPA	2026	0.169875
UT_N	2026	0.2
UT_S	2026	0.200496
WA_ID_AVA	2026	0.097718
WA_N_CEN	2026	0.15
WA_SEATAC	2026	0.148616
WA_W	2026	0.15
WY_NE	2026	0.063678
CAN_ALB	2026	0
CAN_BC	2026	0
MEX_BAJA	2026	0
WY_NW	2026	0
WY_SE	2026	0
WY_SW	2026	0
AZ_APS_E	2027	0.15
AZ_APS_N	2027	0.15
AZ_APS_SW	2027	0.15
AZ_NM_N	2027	0.185171
AZ_NW	2027	0.150013
AZ_PHX	2027	0.15
AZ_SE	2027	0.15
CA_IID	2027	0.33
CA_LADWP	2027	0.33
CA_PGE_BAY	2027	0.33
CA_PGE_CEN	2027	0.33
CA_PGE_N	2027	0.33
CA_PGE_S	2027	0.33
CA_SCE_CEN	2027	0.33
CA_SCE_S	2027	0.33
CA_SCE_SE	2027	0.329858
CA_SCE_VLY	2027	0.33
CA_SDGE	2027	0.33
CA_SMUD	2027	0.33
CO_DEN	2027	0.3
CO_E	2027	0.3
CO_NW	2027	0.3
CO_SW	2027	0.3
ID_E	2027	0.000436218
ID_S_OR_E	2027	0.0235421
MT_NE	2027	0.15
MT_NW	2027	0.15
MT_SE	2027	0.149301
MT_SW	2027	0.14539
NM_N	2027	0.2
NM_S_TX_EPE	2027	0.11147
NV_N	2027	0.252446
NV_S	2027	0.250099
OR_E	2027	0.255578
OR_PDX	2027	0.231989
OR_W	2027	0.253643
OR_WA_BPA	2027	0.169875
UT_N	2027	0.2
UT_S	2027	0.200496
WA_ID_AVA	2027	0.097718
WA_N_CEN	2027	0.15
WA_SEATAC	2027	0.148616
WA_W	2027	0.15
WY_NE	2027	0.063678
CAN_ALB	2027	0
CAN_BC	2027	0
MEX_BAJA	2027	0
WY_NW	2027	0
WY_SE	2027	0
WY_SW	2027	0
AZ_APS_E	2028	0.15
AZ_APS_N	2028	0.15
AZ_APS_SW	2028	0.15
AZ_NM_N	2028	0.185171
AZ_NW	2028	0.150013
AZ_PHX	2028	0.15
AZ_SE	2028	0.15
CA_IID	2028	0.33
CA_LADWP	2028	0.33
CA_PGE_BAY	2028	0.33
CA_PGE_CEN	2028	0.33
CA_PGE_N	2028	0.33
CA_PGE_S	2028	0.33
CA_SCE_CEN	2028	0.33
CA_SCE_S	2028	0.33
CA_SCE_SE	2028	0.329858
CA_SCE_VLY	2028	0.33
CA_SDGE	2028	0.33
CA_SMUD	2028	0.33
CO_DEN	2028	0.3
CO_E	2028	0.3
CO_NW	2028	0.3
CO_SW	2028	0.3
ID_E	2028	0.000436218
ID_S_OR_E	2028	0.0235421
MT_NE	2028	0.15
MT_NW	2028	0.15
MT_SE	2028	0.149301
MT_SW	2028	0.14539
NM_N	2028	0.2
NM_S_TX_EPE	2028	0.11147
NV_N	2028	0.252446
NV_S	2028	0.250099
OR_E	2028	0.255578
OR_PDX	2028	0.231989
OR_W	2028	0.253643
OR_WA_BPA	2028	0.169875
UT_N	2028	0.2
UT_S	2028	0.200496
WA_ID_AVA	2028	0.097718
WA_N_CEN	2028	0.15
WA_SEATAC	2028	0.148616
WA_W	2028	0.15
WY_NE	2028	0.063678
CAN_ALB	2028	0
CAN_BC	2028	0
MEX_BAJA	2028	0
WY_NW	2028	0
WY_SE	2028	0
WY_SW	2028	0
AZ_APS_E	2029	0.15
AZ_APS_N	2029	0.15
AZ_APS_SW	2029	0.15
AZ_NM_N	2029	0.185171
AZ_NW	2029	0.150013
AZ_PHX	2029	0.15
AZ_SE	2029	0.15
CA_IID	2029	0.33
CA_LADWP	2029	0.33
CA_PGE_BAY	2029	0.33
CA_PGE_CEN	2029	0.33
CA_PGE_N	2029	0.33
CA_PGE_S	2029	0.33
CA_SCE_CEN	2029	0.33
CA_SCE_S	2029	0.33
CA_SCE_SE	2029	0.329858
CA_SCE_VLY	2029	0.33
CA_SDGE	2029	0.33
CA_SMUD	2029	0.33
CO_DEN	2029	0.3
CO_E	2029	0.3
CO_NW	2029	0.3
CO_SW	2029	0.3
ID_E	2029	0.000436218
ID_S_OR_E	2029	0.0235421
MT_NE	2029	0.15
MT_NW	2029	0.15
MT_SE	2029	0.149301
MT_SW	2029	0.14539
NM_N	2029	0.2
NM_S_TX_EPE	2029	0.11147
NV_N	2029	0.252446
NV_S	2029	0.250099
OR_E	2029	0.255578
OR_PDX	2029	0.231989
OR_W	2029	0.253643
OR_WA_BPA	2029	0.169875
UT_N	2029	0.2
UT_S	2029	0.200496
WA_ID_AVA	2029	0.097718
WA_N_CEN	2029	0.15
WA_SEATAC	2029	0.148616
WA_W	2029	0.15
WY_NE	2029	0.063678
CAN_ALB	2029	0
CAN_BC	2029	0
MEX_BAJA	2029	0
WY_NW	2029	0
WY_SE	2029	0
WY_SW	2029	0
AZ_APS_E	2030	0.15
AZ_APS_N	2030	0.15
AZ_APS_SW	2030	0.15
AZ_NM_N	2030	0.185171
AZ_NW	2030	0.150013
AZ_PHX	2030	0.15
AZ_SE	2030	0.15
CA_IID	2030	0.33
CA_LADWP	2030	0.33
CA_PGE_BAY	2030	0.33
CA_PGE_CEN	2030	0.33
CA_PGE_N	2030	0.33
CA_PGE_S	2030	0.33
CA_SCE_CEN	2030	0.33
CA_SCE_S	2030	0.33
CA_SCE_SE	2030	0.329858
CA_SCE_VLY	2030	0.33
CA_SDGE	2030	0.33
CA_SMUD	2030	0.33
CO_DEN	2030	0.3
CO_E	2030	0.3
CO_NW	2030	0.3
CO_SW	2030	0.3
ID_E	2030	0.000436218
ID_S_OR_E	2030	0.0235421
MT_NE	2030	0.15
MT_NW	2030	0.15
MT_SE	2030	0.149301
MT_SW	2030	0.14539
NM_N	2030	0.2
NM_S_TX_EPE	2030	0.11147
NV_N	2030	0.252446
NV_S	2030	0.250099
OR_E	2030	0.255578
OR_PDX	2030	0.231989
OR_W	2030	0.253643
OR_WA_BPA	2030	0.169875
UT_N	2030	0.2
UT_S	2030	0.200496
WA_ID_AVA	2030	0.097718
WA_N_CEN	2030	0.15
WA_SEATAC	2030	0.148616
WA_W	2030	0.15
WY_NE	2030	0.063678
CAN_ALB	2030	0
CAN_BC	2030	0
MEX_BAJA	2030	0
WY_NW	2030	0
WY_SE	2030	0
WY_SW	2030	0
AZ_APS_E	2031	0.15
AZ_APS_N	2031	0.15
AZ_APS_SW	2031	0.15
AZ_NM_N	2031	0.185171
AZ_NW	2031	0.150013
AZ_PHX	2031	0.15
AZ_SE	2031	0.15
CA_IID	2031	0.33
CA_LADWP	2031	0.33
CA_PGE_BAY	2031	0.33
CA_PGE_CEN	2031	0.33
CA_PGE_N	2031	0.33
CA_PGE_S	2031	0.33
CA_SCE_CEN	2031	0.33
CA_SCE_S	2031	0.33
CA_SCE_SE	2031	0.329858
CA_SCE_VLY	2031	0.33
CA_SDGE	2031	0.33
CA_SMUD	2031	0.33
CO_DEN	2031	0.3
CO_E	2031	0.3
CO_NW	2031	0.3
CO_SW	2031	0.3
ID_E	2031	0.000436218
ID_S_OR_E	2031	0.0235421
MT_NE	2031	0.15
MT_NW	2031	0.15
MT_SE	2031	0.149301
MT_SW	2031	0.14539
NM_N	2031	0.2
NM_S_TX_EPE	2031	0.11147
NV_N	2031	0.252446
NV_S	2031	0.250099
OR_E	2031	0.255578
OR_PDX	2031	0.231989
OR_W	2031	0.253643
OR_WA_BPA	2031	0.169875
UT_N	2031	0.2
UT_S	2031	0.200496
WA_ID_AVA	2031	0.097718
