ampl.tab 4 1
project_id	la_id	technology	date	average_output_cf
102	1	Hydro_NonPumped_New	20160520	0.847
100	1	Hydro_NonPumped_New	20160515	0.405
100	1	Hydro_NonPumped_New	20160520	0.405
106	S1	Hydro_NonPumped_New	20160515	0.044
106	S1	Hydro_NonPumped_New	20160520	0.044
107	S18	Hydro_NonPumped_New	20160515	0.484
107	S18	Hydro_NonPumped_New	20160520	0.484
99	1	Hydro_NonPumped_New	20160515	0.847
99	1	Hydro_NonPumped_New	20160520	0.847
105	1	Hydro_NonPumped_New	20160515	0.490
105	1	Hydro_NonPumped_New	20160520	0.490
108	S18	Hydro_NonPumped_New	20160515	0.503
108	S18	Hydro_NonPumped_New	20160520	0.503
103	1	Hydro_NonPumped_New	20160515	0.673
103	1	Hydro_NonPumped_New	20160520	0.673
97	1	Hydro_NonPumped_New	20160515	0.550
97	1	Hydro_NonPumped_New	20160520	0.550
101	1	Hydro_NonPumped_New	20160515	0.490
101	1	Hydro_NonPumped_New	20160520	0.490
109	S18	Hydro_NonPumped_New	20160515	0.312
109	S18	Hydro_NonPumped_New	20160520	0.312
105	1	Hydro_NonPumped_New	20160614	0.367
105	1	Hydro_NonPumped_New	20160630	0.367
106	S1	Hydro_NonPumped_New	20160614	0.573
106	S1	Hydro_NonPumped_New	20160630	0.573
108	S18	Hydro_NonPumped_New	20160614	0.753
108	S18	Hydro_NonPumped_New	20160630	0.753
107	S18	Hydro_NonPumped_New	20160614	0.735
107	S18	Hydro_NonPumped_New	20160630	0.735
101	1	Hydro_NonPumped_New	20160614	0.367
101	1	Hydro_NonPumped_New	20160630	0.367
109	S18	Hydro_NonPumped_New	20160614	0.478
109	S18	Hydro_NonPumped_New	20160630	0.478
100	1	Hydro_NonPumped_New	20160614	0.497
100	1	Hydro_NonPumped_New	20160630	0.497
99	1	Hydro_NonPumped_New	20160614	0.731
99	1	Hydro_NonPumped_New	20160630	0.731
104	1	Hydro_NonPumped_New	20160614	0.731
104	1	Hydro_NonPumped_New	20160630	0.731
103	1	Hydro_NonPumped_New	20160614	0.593
103	1	Hydro_NonPumped_New	20160630	0.593
97	1	Hydro_NonPumped_New	20160614	0.531
97	1	Hydro_NonPumped_New	20160630	0.531
102	1	Hydro_NonPumped_New	20160614	0.731
102	1	Hydro_NonPumped_New	20160630	0.731
98	1	Hydro_NonPumped_New	20160614	0.829
98	1	Hydro_NonPumped_New	20160630	0.829
103	1	Hydro_NonPumped_New	20160711	0.746
103	1	Hydro_NonPumped_New	20160710	0.746
109	S18	Hydro_NonPumped_New	20160711	0.608
109	S18	Hydro_NonPumped_New	20160710	0.608
97	1	Hydro_NonPumped_New	20160711	0.548
97	1	Hydro_NonPumped_New	20160710	0.548
98	1	Hydro_NonPumped_New	20160711	0.810
98	1	Hydro_NonPumped_New	20160710	0.810
107	S18	Hydro_NonPumped_New	20160711	0.856
107	S18	Hydro_NonPumped_New	20160710	0.856
101	1	Hydro_NonPumped_New	20160711	0.428
101	1	Hydro_NonPumped_New	20160710	0.428
102	1	Hydro_NonPumped_New	20160711	0.606
102	1	Hydro_NonPumped_New	20160710	0.606
104	1	Hydro_NonPumped_New	20160711	0.606
104	1	Hydro_NonPumped_New	20160710	0.606
108	S18	Hydro_NonPumped_New	20160711	0.852
108	S18	Hydro_NonPumped_New	20160710	0.852
105	1	Hydro_NonPumped_New	20160711	0.428
105	1	Hydro_NonPumped_New	20160710	0.428
106	S1	Hydro_NonPumped_New	20160711	0.624
106	S1	Hydro_NonPumped_New	20160710	0.624
99	1	Hydro_NonPumped_New	20160711	0.606
99	1	Hydro_NonPumped_New	20160710	0.606
100	1	Hydro_NonPumped_New	20160711	0.436
100	1	Hydro_NonPumped_New	20160710	0.436
97	1	Hydro_NonPumped_New	20160810	0.317
97	1	Hydro_NonPumped_New	20160827	0.317
98	1	Hydro_NonPumped_New	20160810	0.648
98	1	Hydro_NonPumped_New	20160827	0.648
107	S18	Hydro_NonPumped_New	20160810	0.780
107	S18	Hydro_NonPumped_New	20160827	0.780
101	1	Hydro_NonPumped_New	20160810	0.391
101	1	Hydro_NonPumped_New	20160827	0.391
108	S18	Hydro_NonPumped_New	20160810	0.850
108	S18	Hydro_NonPumped_New	20160827	0.850
102	1	Hydro_NonPumped_New	20160810	0.469
102	1	Hydro_NonPumped_New	20160827	0.469
104	1	Hydro_NonPumped_New	20160810	0.469
104	1	Hydro_NonPumped_New	20160827	0.469
106	S1	Hydro_NonPumped_New	20160810	0.549
106	S1	Hydro_NonPumped_New	20160827	0.549
103	1	Hydro_NonPumped_New	20160810	0.696
103	1	Hydro_NonPumped_New	20160827	0.696
100	1	Hydro_NonPumped_New	20160810	0.377
100	1	Hydro_NonPumped_New	20160827	0.377
99	1	Hydro_NonPumped_New	20160810	0.469
99	1	Hydro_NonPumped_New	20160827	0.469
109	S18	Hydro_NonPumped_New	20160810	0.638
109	S18	Hydro_NonPumped_New	20160827	0.638
105	1	Hydro_NonPumped_New	20160810	0.391
105	1	Hydro_NonPumped_New	20160827	0.391
97	1	Hydro_NonPumped_New	20160921	0.384
97	1	Hydro_NonPumped_New	20160930	0.384
105	1	Hydro_NonPumped_New	20160921	0.449
105	1	Hydro_NonPumped_New	20160930	0.449
107	S18	Hydro_NonPumped_New	20160921	0.637
107	S18	Hydro_NonPumped_New	20160930	0.637
103	1	Hydro_NonPumped_New	20160921	0.623
103	1	Hydro_NonPumped_New	20160930	0.623
106	S1	Hydro_NonPumped_New	20160921	0.325
106	S1	Hydro_NonPumped_New	20160930	0.325
100	1	Hydro_NonPumped_New	20160921	0.317
100	1	Hydro_NonPumped_New	20160930	0.317
102	1	Hydro_NonPumped_New	20160921	0.401
102	1	Hydro_NonPumped_New	20160930	0.401
104	1	Hydro_NonPumped_New	20160921	0.401
104	1	Hydro_NonPumped_New	20160930	0.401
101	1	Hydro_NonPumped_New	20160921	0.449
101	1	Hydro_NonPumped_New	20160930	0.449
99	1	Hydro_NonPumped_New	20160921	0.401
99	1	Hydro_NonPumped_New	20160930	0.401
108	S18	Hydro_NonPumped_New	20160921	0.851
108	S18	Hydro_NonPumped_New	20160930	0.851
109	S18	Hydro_NonPumped_New	20160921	0.518
109	S18	Hydro_NonPumped_New	20160930	0.518
98	1	Hydro_NonPumped_New	20160921	0.646
98	1	Hydro_NonPumped_New	20160930	0.646
109	S18	Hydro_NonPumped_New	20161001	0.406
109	S18	Hydro_NonPumped_New	20161004	0.406
97	1	Hydro_NonPumped_New	20161001	0.530
97	1	Hydro_NonPumped_New	20161004	0.530
98	1	Hydro_NonPumped_New	20161001	0.855
98	1	Hydro_NonPumped_New	20161004	0.855
108	S18	Hydro_NonPumped_New	20161001	0.558
108	S18	Hydro_NonPumped_New	20161004	0.558
99	1	Hydro_NonPumped_New	20161001	0.449
99	1	Hydro_NonPumped_New	20161004	0.449
107	S18	Hydro_NonPumped_New	20161001	0.618
107	S18	Hydro_NonPumped_New	20161004	0.618
100	1	Hydro_NonPumped_New	20161001	0.428
100	1	Hydro_NonPumped_New	20161004	0.428
106	S1	Hydro_NonPumped_New	20161001	0.136
106	S1	Hydro_NonPumped_New	20161004	0.136
101	1	Hydro_NonPumped_New	20161001	0.569
101	1	Hydro_NonPumped_New	20161004	0.569
105	1	Hydro_NonPumped_New	20161001	0.569
105	1	Hydro_NonPumped_New	20161004	0.569
102	1	Hydro_NonPumped_New	20161001	0.449
102	1	Hydro_NonPumped_New	20161004	0.449
104	1	Hydro_NonPumped_New	20161001	0.449
104	1	Hydro_NonPumped_New	20161004	0.449
103	1	Hydro_NonPumped_New	20161001	0.659
103	1	Hydro_NonPumped_New	20161004	0.659
99	1	Hydro_NonPumped_New	20161113	0.564
99	1	Hydro_NonPumped_New	20161116	0.564
108	S18	Hydro_NonPumped_New	20161113	0.649
108	S18	Hydro_NonPumped_New	20161116	0.649
102	1	Hydro_NonPumped_New	20161113	0.564
102	1	Hydro_NonPumped_New	20161116	0.564
106	S1	Hydro_NonPumped_New	20161113	0.150
106	S1	Hydro_NonPumped_New	20161116	0.150
98	1	Hydro_NonPumped_New	20161113	0.875
98	1	Hydro_NonPumped_New	20161116	0.875
101	1	Hydro_NonPumped_New	20161113	0.595
101	1	Hydro_NonPumped_New	20161116	0.595
103	1	Hydro_NonPumped_New	20161113	0.840
103	1	Hydro_NonPumped_New	20161116	0.840
109	S18	Hydro_NonPumped_New	20161113	0.529
109	S18	Hydro_NonPumped_New	20161116	0.529
105	1	Hydro_NonPumped_New	20161113	0.595
105	1	Hydro_NonPumped_New	20161116	0.595
100	1	Hydro_NonPumped_New	20161113	0.504
100	1	Hydro_NonPumped_New	20161116	0.504
107	S18	Hydro_NonPumped_New	20161113	0.529
107	S18	Hydro_NonPumped_New	20161116	0.529
104	1	Hydro_NonPumped_New	20161113	0.564
104	1	Hydro_NonPumped_New	20161116	0.564
97	1	Hydro_NonPumped_New	20161113	0.530
97	1	Hydro_NonPumped_New	20161116	0.530
98	1	Hydro_NonPumped_New	20161225	0.867
98	1	Hydro_NonPumped_New	20161207	0.867
101	1	Hydro_NonPumped_New	20161225	0.757
101	1	Hydro_NonPumped_New	20161207	0.757
109	S18	Hydro_NonPumped_New	20161225	0.320
109	S18	Hydro_NonPumped_New	20161207	0.320
99	1	Hydro_NonPumped_New	20161225	0.629
99	1	Hydro_NonPumped_New	20161207	0.629
108	S18	Hydro_NonPumped_New	20161225	0.608
108	S18	Hydro_NonPumped_New	20161207	0.608
100	1	Hydro_NonPumped_New	20161225	0.498
100	1	Hydro_NonPumped_New	20161207	0.498
106	S1	Hydro_NonPumped_New	20161225	0.120
106	S1	Hydro_NonPumped_New	20161207	0.120
104	1	Hydro_NonPumped_New	20161225	0.629
104	1	Hydro_NonPumped_New	20161207	0.629
107	S18	Hydro_NonPumped_New	20161225	0.462
107	S18	Hydro_NonPumped_New	20161207	0.462
105	1	Hydro_NonPumped_New	20161225	0.757
105	1	Hydro_NonPumped_New	20161207	0.757
103	1	Hydro_NonPumped_New	20161225	0.876
103	1	Hydro_NonPumped_New	20161207	0.876
97	1	Hydro_NonPumped_New	20161225	0.570
97	1	Hydro_NonPumped_New	20161207	0.570
102	1	Hydro_NonPumped_New	20161225	0.629
102	1	Hydro_NonPumped_New	20161207	0.629
102	1	Hydro_NonPumped_New	20200118	0.771
102	1	Hydro_NonPumped_New	20200108	0.771
99	1	Hydro_NonPumped_New	20200118	0.771
99	1	Hydro_NonPumped_New	20200108	0.771
109	S18	Hydro_NonPumped_New	20200118	0.179
109	S18	Hydro_NonPumped_New	20200108	0.179
97	1	Hydro_NonPumped_New	20200118	0.797
97	1	Hydro_NonPumped_New	20200108	0.797
106	S1	Hydro_NonPumped_New	20200118	0.036
106	S1	Hydro_NonPumped_New	20200108	0.036
98	1	Hydro_NonPumped_New	20200118	0.843
98	1	Hydro_NonPumped_New	20200108	0.843
107	S18	Hydro_NonPumped_New	20200118	0.411
107	S18	Hydro_NonPumped_New	20200108	0.411
103	1	Hydro_NonPumped_New	20200118	0.870
103	1	Hydro_NonPumped_New	20200108	0.870
108	S18	Hydro_NonPumped_New	20200118	0.548
108	S18	Hydro_NonPumped_New	20200108	0.548
104	1	Hydro_NonPumped_New	20200118	0.771
104	1	Hydro_NonPumped_New	20200108	0.771
100	1	Hydro_NonPumped_New	20200118	0.462
100	1	Hydro_NonPumped_New	20200108	0.462
101	1	Hydro_NonPumped_New	20200118	0.677
101	1	Hydro_NonPumped_New	20200108	0.677
105	1	Hydro_NonPumped_New	20200118	0.677
105	1	Hydro_NonPumped_New	20200108	0.677
97	1	Hydro_NonPumped_New	20200220	0.569
97	1	Hydro_NonPumped_New	20200221	0.569
101	1	Hydro_NonPumped_New	20200220	0.661
101	1	Hydro_NonPumped_New	20200221	0.661
102	1	Hydro_NonPumped_New	20200220	0.857
102	1	Hydro_NonPumped_New	20200221	0.857
103	1	Hydro_NonPumped_New	20200220	0.895
103	1	Hydro_NonPumped_New	20200221	0.895
108	S18	Hydro_NonPumped_New	20200220	0.474
108	S18	Hydro_NonPumped_New	20200221	0.474
99	1	Hydro_NonPumped_New	20200220	0.857
99	1	Hydro_NonPumped_New	20200221	0.857
106	S1	Hydro_NonPumped_New	20200220	0.023
106	S1	Hydro_NonPumped_New	20200221	0.023
104	1	Hydro_NonPumped_New	20200220	0.857
104	1	Hydro_NonPumped_New	20200221	0.857
107	S18	Hydro_NonPumped_New	20200220	0.379
107	S18	Hydro_NonPumped_New	20200221	0.379
105	1	Hydro_NonPumped_New	20200220	0.661
105	1	Hydro_NonPumped_New	20200221	0.661
100	1	Hydro_NonPumped_New	20200220	0.327
100	1	Hydro_NonPumped_New	20200221	0.327
98	1	Hydro_NonPumped_New	20200220	0.843
98	1	Hydro_NonPumped_New	20200221	0.843
109	S18	Hydro_NonPumped_New	20200220	0.151
109	S18	Hydro_NonPumped_New	20200221	0.151
104	1	Hydro_NonPumped_New	20200306	0.877
104	1	Hydro_NonPumped_New	20200325	0.877
106	S1	Hydro_NonPumped_New	20200306	0.021
106	S1	Hydro_NonPumped_New	20200325	0.021
99	1	Hydro_NonPumped_New	20200306	0.877
99	1	Hydro_NonPumped_New	20200325	0.877
108	S18	Hydro_NonPumped_New	20200306	0.393
108	S18	Hydro_NonPumped_New	20200325	0.393
100	1	Hydro_NonPumped_New	20200306	0.291
100	1	Hydro_NonPumped_New	20200325	0.291
105	1	Hydro_NonPumped_New	20200306	0.417
105	1	Hydro_NonPumped_New	20200325	0.417
98	1	Hydro_NonPumped_New	20200306	0.850
98	1	Hydro_NonPumped_New	20200325	0.850
103	1	Hydro_NonPumped_New	20200306	0.852
103	1	Hydro_NonPumped_New	20200325	0.852
109	S18	Hydro_NonPumped_New	20200306	0.195
109	S18	Hydro_NonPumped_New	20200325	0.195
97	1	Hydro_NonPumped_New	20200306	0.374
97	1	Hydro_NonPumped_New	20200325	0.374
102	1	Hydro_NonPumped_New	20200306	0.877
102	1	Hydro_NonPumped_New	20200325	0.877
101	1	Hydro_NonPumped_New	20200306	0.417
101	1	Hydro_NonPumped_New	20200325	0.417
107	S18	Hydro_NonPumped_New	20200306	0.375
107	S18	Hydro_NonPumped_New	20200325	0.375
101	1	Hydro_NonPumped_New	20200403	0.498
101	1	Hydro_NonPumped_New	20200421	0.498
108	S18	Hydro_NonPumped_New	20200403	0.414
