ampl.tab 2
location_id	load_area
6474	AZ_PHX
8403	NM_N
4814	AZ_APS_SW
1917	CA_SCE_S
9482	NM_N
9340	NM_S_TX_EPE
5327	AZ_PHX
9454	NM_S_TX_EPE
2386	CA_SCE_S
2334	CA_SCE_S
9121	NM_N
2267	CA_SCE_S
9319	NM_N
8636	NM_N
1949	CA_SCE_S
9597	NM_N
4917	AZ_APS_SW
8023	NM_N
9275	NM_N
8912	NM_N
8777	NM_N
7804	AZ_APS_E
4688	AZ_APS_SW
8749	NM_N
9249	NM_N
4689	AZ_APS_SW
4777	AZ_APS_SW
9658	NM_N
8782	NM_N
3131	CA_SCE_S
4690	AZ_APS_SW
7133	AZ_APS_E
4556	AZ_APS_SW
8826	NM_N
9701	NM_N
9568	NM_N
6985	AZ_APS_E
6681	AZ_APS_E
7271	AZ_APS_E
7335	AZ_APS_E
9517	NM_N
9341	NM_N
8836	NM_N
4798	AZ_APS_N
7518	AZ_APS_E
9455	NM_N
9325	NM_N
6864	AZ_APS_E
3836	AZ_NW
4990	AZ_APS_N
7647	AZ_APS_E
6998	AZ_APS_E
9533	NM_N
8916	NM_N
4815	AZ_APS_N
7696	AZ_APS_E
9487	NM_N
3889	AZ_NW
7181	AZ_APS_E
9697	NM_N
8852	NM_N
8323	NM_N
6514	AZ_APS_E
4194	AZ_NW
9470	NM_N
9276	NM_N
6775	AZ_APS_E
7198	AZ_APS_E
9495	NM_N
8827	NM_N
9441	NM_N
2335	CA_SCE_CEN
6613	AZ_APS_E
8226	NM_N
8526	NM_N
9549	NM_N
9589	NM_N
7149	AZ_APS_E
8472	NM_N
8542	NM_N
9209	NM_N
4138	AZ_NW
8442	NM_N
2170	CA_SCE_CEN
9471	NM_N
8278	NM_N
9320	NM_N
7011	AZ_APS_E
9598	NM_N
6000	AZ_APS_E
7341	AZ_APS_E
8491	NM_N
8524	NM_N
3436	CA_SCE_SE
4065	AZ_NW
9534	NM_N
9689	NM_N
9648	NM_N
3708	CA_SCE_SE
7298	AZ_APS_E
9731	NM_N
8543	NM_N
9631	NM_N
7327	AZ_APS_E
7156	AZ_APS_E
2345	CA_SCE_CEN
3880	AZ_NW
7565	NM_N
6067	AZ_APS_E
3619	CA_SCE_SE
9261	NM_N
6095	AZ_APS_E
9190	NM_N
1213	CA_PGE_S
1237	CA_PGE_S
8541	NM_N
5873	AZ_APS_N
9388	NM_N
9745	NM_N
9655	NM_N
5958	AZ_APS_N
9235	NM_N
9257	NM_N
8305	NM_N
7050	AZ_APS_E
7706	NM_N
9690	NM_N
6678	AZ_APS_E
6529	AZ_APS_E
9367	NM_N
9535	NM_N
1210	CA_PGE_S
8290	NM_N
8451	NM_N
1469	CA_PGE_S
5846	AZ_APS_N
9771	NM_N
1511	CA_PGE_S
7485	AZ_NM_N
7968	NM_N
6699	AZ_APS_E
6813	AZ_APS_E
9152	NM_N
8865	NM_N
9039	NM_N
9337	NM_N
5887	AZ_APS_N
4049	AZ_NW
10003	NM_N
6530	AZ_APS_E
8525	NM_N
7980	AZ_NM_N
9092	NM_N
6932	AZ_NM_N
9483	NM_N
7142	AZ_NM_N
6150	AZ_APS_E
7368	AZ_NM_N
6605	AZ_APS_E
6717	AZ_APS_E
5869	AZ_APS_N
5025	AZ_APS_N
6509	AZ_APS_E
4833	AZ_APS_N
5039	AZ_APS_N
7721	AZ_NM_N
6402	AZ_APS_E
9153	NM_N
8177	NM_N
6618	AZ_APS_E
8665	NM_N
2041	CA_SCE_CEN
7231	AZ_NM_N
4562	AZ_APS_N
9942	NM_N
5274	AZ_APS_N
8511	NM_N
6825	AZ_NM_N
8766	NM_N
4511	AZ_APS_N
6072	AZ_APS_N
3171	CA_SCE_CEN
6948	AZ_NM_N
4354	AZ_NW
4240	AZ_NW
7123	AZ_NM_N
8763	NM_N
6791	AZ_NM_N
4563	AZ_APS_N
4955	AZ_APS_N
5358	AZ_APS_N
8057	NM_N
3172	CA_SCE_CEN
6107	AZ_APS_N
9711	NM_N
3970	AZ_NW
6832	AZ_NM_N
7016	AZ_NM_N
6636	AZ_NM_N
6917	AZ_NM_N
7974	NM_N
6103	AZ_APS_N
6675	AZ_NM_N
6690	AZ_NM_N
6949	AZ_NM_N
8231	NM_N
8449	NM_N
4822	AZ_APS_N
6001	AZ_APS_N
7080	AZ_NM_N
8934	NM_N
8003	NM_N
6688	AZ_NM_N
7879	AZ_NM_N
5483	AZ_APS_N
8038	NM_N
9773	NM_N
6478	AZ_NM_N
6084	AZ_APS_N
6059	AZ_APS_N
9753	NM_N
9884	NM_N
9968	NM_N
7899	AZ_NM_N
6116	AZ_APS_N
7661	AZ_NM_N
7274	AZ_NM_N
9733	NM_N
6437	AZ_NM_N
8085	NM_N
5966	AZ_APS_N
8342	NM_N
6076	AZ_APS_N
6241	AZ_APS_N
7559	AZ_NM_N
8406	NM_N
10095	NM_N
10229	NM_N
7698	AZ_NM_N
7767	AZ_NM_N
9801	NM_N
7054	AZ_NM_N
3124	NV_S
7636	AZ_NM_N
7566	AZ_NM_N
8407	NM_N
6207	AZ_APS_N
6151	AZ_APS_N
6684	AZ_NM_N
7858	AZ_NM_N
6006	AZ_APS_N
8355	NM_N
6293	AZ_NM_N
3163	NV_S
5898	AZ_APS_N
6180	AZ_NM_N
7735	AZ_NM_N
8164	NM_N
7806	AZ_NM_N
8260	NM_N
4810	AZ_APS_N
6705	AZ_NM_N
10564	NM_N
10598	NM_N
5721	AZ_APS_N
7708	AZ_NM_N
7539	AZ_NM_N
8080	NM_N
10091	NM_N
10549	NM_N
10640	NM_N
3548	NV_S
4867	AZ_APS_N
6768	AZ_NM_N
10096	NM_N
8287	NM_N
7540	AZ_NM_N
8280	NM_N
7745	AZ_NM_N
8030	AZ_NM_N
5917	AZ_APS_N
10763	NM_N
10255	NM_N
10879	NM_N
10822	NM_N
7662	AZ_NM_N
966	CA_PGE_CEN
5967	AZ_APS_N
10311	NM_N
1191	CA_PGE_CEN
7927	AZ_NM_N
10850	NM_N
8025	AZ_NM_N
8242	NM_N
5670	AZ_APS_N
5841	AZ_APS_N
10421	NM_N
10260	NM_N
10417	NM_N
9984	NM_N
10211	NM_N
10486	NM_N
10608	NM_N
10891	NM_N
5807	AZ_APS_N
7594	AZ_NM_N
10653	NM_N
7699	AZ_NM_N
9236	NM_N
10728	NM_N
10261	NM_N
4783	UT_S
8245	AZ_NM_N
4508	UT_S
6822	UT_S
974	CA_PGE_CEN
10097	NM_N
6007	AZ_NM_N
10676	NM_N
6502	AZ_NM_N
10115	NM_N
8144	AZ_NM_N
10235	NM_N
952	CA_PGE_CEN
10565	NM_N
1022	CA_PGE_CEN
10672	NM_N
10823	NM_N
4744	UT_S
5835	AZ_APS_N
4454	UT_S
10607	NM_N
10857	NM_N
6450	AZ_NM_N
7628	AZ_NM_N
7716	AZ_NM_N
6599	AZ_NM_N
5732	AZ_APS_N
10537	NM_N
4811	UT_S
6650	AZ_NM_N
10577	NM_N
6391	AZ_NM_N
10873	NM_N
10098	NM_N
4040	NV_S
3804	NV_S
4355	UT_S
10518	NM_N
6651	UT_S
6322	AZ_NM_N
10647	NM_N
6392	AZ_NM_N
2616	NV_S
558	CA_PGE_CEN
4812	UT_S
6760	UT_S
4338	UT_S
4068	UT_S
7205	AZ_NM_N
6950	UT_S
4572	UT_S
6294	AZ_NM_N
5178	UT_S
7124	AZ_NM_N
5059	UT_S
731	CA_PGE_CEN
3608	NV_S
6890	UT_S
6984	UT_S
4007	NV_S
10683	NM_N
502	CA_PGE_BAY
6862	UT_S
6341	AZ_NM_N
9168	CO_SW
495	CA_PGE_BAY
8874	CO_SW
11038	CO_E
7103	UT_S
6891	UT_S
10538	CO_E
6922	UT_S
10385	CO_E
3045	MEX_BAJA
3056	MEX_BAJA
3407	MEX_BAJA
7742	NM_S_TX_EPE
7193	NM_S_TX_EPE
3099	MEX_BAJA
3079	MEX_BAJA
3053	MEX_BAJA
7704	NM_S_TX_EPE
7457	NM_S_TX_EPE
7513	NM_S_TX_EPE
9194	NM_S_TX_EPE
9120	NM_S_TX_EPE
9050	NM_S_TX_EPE
9023	NM_S_TX_EPE
8975	NM_S_TX_EPE
8957	NM_S_TX_EPE
8771	NM_S_TX_EPE
5573	AZ_SE
7711	NM_S_TX_EPE
4796	AZ_SE
4727	AZ_APS_SW
5756	AZ_SE
6506	AZ_SE
5520	AZ_SE
5954	AZ_SE
5574	AZ_SE
9812	NM_S_TX_EPE
5163	AZ_SE
9724	NM_S_TX_EPE
9725	NM_S_TX_EPE
5090	AZ_SE
5086	AZ_SE
5076	AZ_SE
5034	AZ_SE
5459	AZ_SE
5462	AZ_SE
5435	AZ_SE
5415	AZ_SE
5367	AZ_SE
5033	AZ_SE
5165	AZ_SE
5097	AZ_SE
4999	AZ_SE
4962	AZ_SE
6657	AZ_SE
6737	AZ_SE
5318	AZ_SE
5319	AZ_SE
7775	NM_S_TX_EPE
7822	NM_S_TX_EPE
5615	AZ_SE
4866	AZ_APS_SW
5143	AZ_SE
6436	AZ_SE
8412	NM_S_TX_EPE
8683	NM_S_TX_EPE
8596	NM_S_TX_EPE
8598	NM_S_TX_EPE
8599	NM_S_TX_EPE
8307	NM_S_TX_EPE
8487	NM_S_TX_EPE
8485	NM_S_TX_EPE
8384	NM_S_TX_EPE
8204	NM_S_TX_EPE
3578	MEX_BAJA
5320	AZ_SE
8309	NM_S_TX_EPE
8299	NM_S_TX_EPE
3710	CA_IID
5441	AZ_SE
5432	AZ_SE
3556	CA_IID
3531	CA_IID
8257	NM_N
4342	AZ_APS_SW
2357	CA_SDGE
4715	AZ_APS_SW
8488	NM_S_TX_EPE
8458	NM_S_TX_EPE
4760	AZ_APS_SW
9923	NM_N
4527	AZ_APS_SW
4537	AZ_APS_SW
4503	AZ_APS_SW
6456	AZ_SE
5157	AZ_APS_SW
3744	CA_IID
6687	AZ_SE
5655	AZ_PHX
5666	AZ_PHX
5525	AZ_PHX
5584	AZ_PHX
5635	AZ_PHX
2390	CA_SCE_S
4862	AZ_APS_SW
4953	AZ_APS_SW
4964	AZ_APS_SW
4830	AZ_APS_SW
4831	AZ_APS_SW
4828	AZ_APS_SW
4656	AZ_APS_SW
4683	AZ_APS_SW
4682	AZ_APS_SW
4606	AZ_APS_SW
4361	AZ_APS_SW
4215	CA_IID
4434	AZ_APS_SW
4724	AZ_APS_SW
3747	CA_SCE_SE
3670	CA_SCE_SE
5526	AZ_PHX
5393	AZ_PHX
5252	AZ_PHX
5202	AZ_APS_SW
4859	AZ_APS_SW
4967	AZ_APS_SW
4832	AZ_APS_SW
8554	NM_N
8589	NM_N
8572	NM_N
1952	CA_SCE_S
5326	AZ_PHX
5000	AZ_APS_SW
8862	NM_N
2901	CA_IID
8054	NM_N
8035	NM_N
4582	AZ_APS_SW
4611	AZ_APS_SW
2393	CA_SCE_S
5394	AZ_APS_N
4039	AZ_APS_SW
4083	AZ_APS_SW
4033	AZ_APS_SW
4019	AZ_APS_SW
4607	AZ_APS_SW
4685	AZ_APS_SW
4247	AZ_APS_SW
4267	AZ_APS_SW
