ampl.tab 3 8
project_id	load_area	technology	location_id	ep_project_replacement_id	capacity_limit	capacity_limit_conversion	heat_rate	cogen_thermal_demand	connect_cost_per_mw	average_capacity_factor_intermittent
1102267	AZ_APS_E	CSP_Trough_6h_Storage	103299	0	304.3500061035156	30.670000076293945	0	0	105252	0.3662019968032837
1102754	AZ_APS_E	Central_PV	103232	0	1795.1400146484375	32.81999969482422	0	0	41396.3	0.3054350018501282
1102755	AZ_APS_E	CSP_Trough_No_Storage	103232	0	1795.1400146484375	43.63999938964844	0	0	41396.3	0.22993600368499756
1102756	AZ_APS_E	CSP_Trough_6h_Storage	103232	0	1795.1400146484375	30.530000686645508	0	0	41396.3	0.36875900626182556
1102871	AZ_APS_E	Central_PV	103235	0	369.4200134277344	34.599998474121094	0	0	75881.3	0.3038899898529053
1103984	AZ_APS_E	Central_PV	103438	0	1066.77001953125	34.369998931884766	0	0	52401.5	0.301831990480423
1103985	AZ_APS_E	CSP_Trough_No_Storage	103438	0	1066.77001953125	43.93000030517578	0	0	52401.5	0.23167000710964203
1103986	AZ_APS_E	CSP_Trough_6h_Storage	103438	0	1066.77001953125	30.670000076293945	0	0	52401.5	0.37278199195861816
1104083	AZ_APS_E	Central_PV	103529	0	163.13999938964844	34.0099983215332	0	0	79269.8	0.3046819865703583
1104085	AZ_APS_E	CSP_Trough_6h_Storage	103529	0	163.13999938964844	30.809999465942383	0	0	79269.8	0.36403700709342957
1104119	AZ_APS_E	Central_PV	103471	0	524.8300170898438	34.720001220703125	0	0	39339.2	0.3026660084724426
1104146	AZ_APS_E	Central_PV	103457	0	196.07000732421875	33.540000915527344	0	0	84775.6	0.3024260103702545
1104147	AZ_APS_E	CSP_Trough_No_Storage	103457	0	196.07000732421875	43.93000030517578	0	0	84775.6	0.2283560037612915
1104148	AZ_APS_E	CSP_Trough_6h_Storage	103457	0	196.07000732421875	30.809999465942383	0	0	84775.6	0.3682140111923218
1105406	AZ_APS_E	Central_PV	103294	0	24.700000762939453	33.29999923706055	0	0	98269.4	0.3022080063819885
1106447	AZ_APS_E	Central_PV	103324	0	30.270000457763672	33.779998779296875	0	0	71274.1	0.30166301131248474
1106448	AZ_APS_E	CSP_Trough_No_Storage	103324	0	30.270000457763672	43.63999938964844	0	0	71274.1	0.23677800595760345
1106449	AZ_APS_E	CSP_Trough_6h_Storage	103324	0	30.270000457763672	30.530000686645508	0	0	71274.1	0.37828099727630615
1106804	AZ_APS_E	Central_PV	103706	0	34.52000045776367	34.369998931884766	0	0	101324	0.30331701040267944
1106873	AZ_APS_E	Central_PV	103334	0	2.930000066757202	33.540000915527344	0	0	87842.2	0.30800101161003113
1106874	AZ_APS_E	CSP_Trough_No_Storage	103334	0	2.930000066757202	43.63999938964844	0	0	87842.2	0.23588599264621735
1106875	AZ_APS_E	CSP_Trough_6h_Storage	103334	0	2.930000066757202	30.670000076293945	0	0	87842.2	0.37748000025749207
1107266	AZ_APS_E	Central_PV	103237	0	27.100000381469727	34.0099983215332	0	0	34054.5	0.2983720004558563
1107267	AZ_APS_E	CSP_Trough_No_Storage	103237	0	27.100000381469727	43.63999938964844	0	0	34054.5	0.23090900480747223
1107268	AZ_APS_E	CSP_Trough_6h_Storage	103237	0	27.100000381469727	30.530000686645508	0	0	34054.5	0.3694649934768677
1107281	AZ_APS_E	Central_PV	103346	0	5.510000228881836	34.599998474121094	0	0	83350.9	0.3055109977722168
1107282	AZ_APS_E	CSP_Trough_No_Storage	103346	0	5.510000228881836	43.93000030517578	0	0	83350.9	0.22787900269031525
1107283	AZ_APS_E	CSP_Trough_6h_Storage	103346	0	5.510000228881836	30.809999465942383	0	0	83350.9	0.363631010055542
1107290	AZ_APS_E	Central_PV	103215	0	52.939998626708984	34.0099983215332	0	0	35209.5	0.3041979968547821
1107291	AZ_APS_E	CSP_Trough_No_Storage	103215	0	52.939998626708984	43.63999938964844	0	0	35209.5	0.2401369959115982
1107292	AZ_APS_E	CSP_Trough_6h_Storage	103215	0	52.939998626708984	30.530000686645508	0	0	35209.5	0.38204699754714966
1107305	AZ_APS_E	Central_PV	103465	0	33.83000183105469	34.130001068115234	0	0	56919.8	0.30647900700569153
1107306	AZ_APS_E	CSP_Trough_No_Storage	103465	0	33.83000183105469	43.93000030517578	0	0	56919.8	0.23326100409030914
1107307	AZ_APS_E	CSP_Trough_6h_Storage	103465	0	33.83000183105469	30.670000076293945	0	0	56919.8	0.37286099791526794
1107740	AZ_APS_E	Central_PV	103486	0	38	34.0099983215332	0	0	70591.5	0.3038789927959442
1107741	AZ_APS_E	CSP_Trough_No_Storage	103486	0	38	43.93000030517578	0	0	70591.5	0.23018699884414673
1107742	AZ_APS_E	CSP_Trough_6h_Storage	103486	0	38	30.809999465942383	0	0	70591.5	0.36980900168418884
1107776	AZ_APS_E	Central_PV	103296	0	17.510000228881836	33.540000915527344	0	0	76426.4	0.30506399273872375
1107777	AZ_APS_E	CSP_Trough_No_Storage	103296	0	17.510000228881836	43.63999938964844	0	0	76426.4	0.23042699694633484
1107778	AZ_APS_E	CSP_Trough_6h_Storage	103296	0	17.510000228881836	30.530000686645508	0	0	76426.4	0.37183600664138794
1108178	AZ_APS_E	Central_PV	103663	0	1.7599999904632568	35.40999984741211	0	0	99215	0.30502599477767944
1108670	AZ_APS_E	Central_PV	103746	0	1845.010009765625	34.720001220703125	0	0	109005	0.30557700991630554
1108685	AZ_APS_E	Central_PV	103398	0	61.58000183105469	34.720001220703125	0	0	72135.8	0.29917100071907043
1108718	AZ_APS_E	Central_PV	103128	0	22.540000915527344	34.130001068115234	0	0	76365.8	0.3044680058956146
1108727	AZ_APS_E	Central_PV	103267	0	44.560001373291016	33.65999984741211	0	0	64224.3	0.3055180013179779
1108728	AZ_APS_E	CSP_Trough_No_Storage	103267	0	44.560001373291016	43.63999938964844	0	0	64224.3	0.23531000316143036
1108729	AZ_APS_E	CSP_Trough_6h_Storage	103267	0	44.560001373291016	30.530000686645508	0	0	64224.3	0.3767400085926056
