ampl.tab 3 1
load_area	period	breakpoint_id	price_dollars_per_mmbtu_surplus_adjusted
AZ_NW	2015	3	2.8458
AZ_NW	2015	4	3.4931
AZ_NW	2015	5	4.0347
AZ_NW	2015	6	4.0695
AZ_NW	2015	7	4.1063
AZ_NW	2015	8	4.1472
AZ_NW	2015	9	999999999
AZ_NW	2025	1	1.3323
AZ_NW	2025	2	1.8378
AZ_NW	2025	3	2.7485
AZ_NW	2025	4	3.4464
AZ_NW	2025	5	4.0368
AZ_NW	2025	6	4.0756
AZ_NW	2025	7	4.1154
AZ_NW	2025	8	4.158
AZ_NW	2025	9	999999999
AZ_NW	2035	1	1.3323
AZ_NW	2035	2	1.8378
AZ_NW	2035	3	2.7485
AZ_NW	2035	4	3.4464
AZ_NW	2035	5	4.0368
AZ_NW	2035	6	4.0756
AZ_NW	2035	7	4.1154
AZ_NW	2035	8	4.158
AZ_NW	2035	9	999999999
AZ_NW	2045	1	1.3323
AZ_NW	2045	2	1.8378
AZ_NW	2045	3	2.7485
AZ_NW	2045	4	3.4464
AZ_NW	2045	5	4.0368
AZ_NW	2045	6	4.0756
AZ_NW	2045	7	4.1154
AZ_NW	2045	8	4.158
AZ_NW	2045	9	999999999
AZ_PHX	2015	1	1.5825
AZ_PHX	2015	2	1.985
AZ_PHX	2015	3	8.8832
AZ_PHX	2015	4	10.5604
AZ_PHX	2015	5	30.2242
AZ_PHX	2015	6	43.1452
AZ_PHX	2015	7	65.6918
AZ_PHX	2015	8	999999999
AZ_PHX	2025	1	1.5825
AZ_PHX	2025	2	1.9772
AZ_PHX	2025	3	9.2068
AZ_PHX	2025	4	25.2536
AZ_PHX	2025	5	39.1405
AZ_PHX	2025	6	53.1548
AZ_PHX	2025	7	999999999
AZ_PHX	2035	1	1.5825
AZ_PHX	2035	2	1.9772
AZ_PHX	2035	3	9.2068
AZ_PHX	2035	4	25.2536
AZ_PHX	2035	5	39.1405
AZ_PHX	2035	6	53.1548
AZ_PHX	2035	7	999999999
AZ_PHX	2045	1	1.5825
AZ_PHX	2045	2	1.9772
AZ_PHX	2045	3	9.2068
AZ_PHX	2045	4	25.2536
AZ_PHX	2045	5	39.1405
AZ_PHX	2045	6	53.1548
AZ_PHX	2045	7	999999999
AZ_SE	2015	1	1.5744
AZ_SE	2015	2	2.0897
AZ_SE	2015	3	3.1624
AZ_SE	2015	4	4.3229
AZ_SE	2015	5	5.4749
AZ_SE	2015	6	5.6748
AZ_SE	2015	7	37.2316
AZ_SE	2015	8	999999999
AZ_SE	2025	1	1.3378
AZ_SE	2025	2	1.7285
AZ_SE	2025	3	2.2967
AZ_SE	2025	4	2.5392
AZ_SE	2025	5	3.7157
AZ_SE	2025	6	5.3951
AZ_SE	2025	7	5.672
AZ_SE	2025	8	5.8877
AZ_SE	2025	9	999999999
AZ_SE	2035	1	1.3378
AZ_SE	2035	2	1.7285
AZ_SE	2035	3	2.2967
AZ_SE	2035	4	2.5392
AZ_SE	2035	5	3.7157
AZ_SE	2035	6	5.3951
AZ_SE	2035	7	5.672
AZ_SE	2035	8	5.8877
AZ_SE	2035	9	999999999
AZ_SE	2045	1	1.3378
AZ_SE	2045	2	1.7285
AZ_SE	2045	3	2.2967
AZ_SE	2045	4	2.5392
AZ_SE	2045	5	3.7157
AZ_SE	2045	6	5.3951
AZ_SE	2045	7	5.672
AZ_SE	2045	8	5.8877
AZ_SE	2045	9	999999999
CAN_ALB	2015	1	0.2694
CAN_ALB	2015	2	1.9604
CAN_ALB	2015	3	1.9866
CAN_ALB	2015	4	2.6877
CAN_ALB	2015	5	7.1554
CAN_ALB	2015	6	12.5175
CAN_ALB	2015	7	14.0921
CAN_ALB	2015	8	15.9555
CAN_ALB	2015	9	999999999
CAN_ALB	2025	1	0.2694
CAN_ALB	2025	2	1.9604
CAN_ALB	2025	3	1.9866
CAN_ALB	2025	4	2.6877
CAN_ALB	2025	5	7.1554
CAN_ALB	2025	6	12.5175
CAN_ALB	2025	7	14.0921
CAN_ALB	2025	8	15.9555
CAN_ALB	2025	9	999999999
CAN_ALB	2035	1	0.2694
CAN_ALB	2035	2	1.9604
CAN_ALB	2035	3	1.9866
CAN_ALB	2035	4	2.6877
CAN_ALB	2035	5	7.1554
CAN_ALB	2035	6	12.5175
CAN_ALB	2035	7	14.0921
CAN_ALB	2035	8	15.9555
CAN_ALB	2035	9	999999999
CAN_ALB	2045	1	0.2694
CAN_ALB	2045	2	1.9604
CAN_ALB	2045	3	1.9866
CAN_ALB	2045	4	2.6877
CAN_ALB	2045	5	7.1554
CAN_ALB	2045	6	12.5175
CAN_ALB	2045	7	14.0921
CAN_ALB	2045	8	15.9555
CAN_ALB	2045	9	999999999
CAN_BC	2015	1	0.2914
CAN_BC	2015	2	1.6069
CAN_BC	2015	3	2.0304
CAN_BC	2015	4	3.6703
CAN_BC	2015	5	112.7499
CAN_BC	2015	6	138.1171
CAN_BC	2015	7	183.8394
CAN_BC	2015	8	1805.7487
CAN_BC	2015	9	1818.6917
CAN_BC	2015	10	999999999
CAN_BC	2025	1	0.2914
CAN_BC	2025	2	1.6069
CAN_BC	2025	3	2.0304
CAN_BC	2025	4	3.6703
CAN_BC	2025	5	112.7499
CAN_BC	2025	6	138.1171
CAN_BC	2025	7	183.8394
CAN_BC	2025	8	1805.7487
CAN_BC	2025	9	1818.6917
CAN_BC	2025	10	999999999
CAN_BC	2035	1	0.2914
CAN_BC	2035	2	1.6069
CAN_BC	2035	3	2.0304
CAN_BC	2035	4	3.6703
CAN_BC	2035	5	112.7499
CAN_BC	2035	6	138.1171
CAN_BC	2035	7	183.8394
CAN_BC	2035	8	1805.7487
CAN_BC	2035	9	1818.6917
CAN_BC	2035	10	999999999
CAN_BC	2045	1	0.2914
CAN_BC	2045	2	1.6069
CAN_BC	2045	3	2.0304
CAN_BC	2045	4	3.6703
CAN_BC	2045	5	112.7499
CAN_BC	2045	6	138.1171
CAN_BC	2045	7	183.8394
CAN_BC	2045	8	1805.7487
CAN_BC	2045	9	1818.6917
CAN_BC	2045	10	999999999
CA_IID	2015	1	1.3378
CA_IID	2015	2	2.0938
CA_IID	2015	3	3.8177
CA_IID	2015	4	4.1502
CA_IID	2015	5	999999999
CA_IID	2025	1	1.3378
CA_IID	2025	2	2.0936
CA_IID	2025	3	3.811
CA_IID	2025	4	3.8852
CA_IID	2025	5	4.1506
CA_IID	2025	6	999999999
CA_IID	2035	1	1.3378
CA_IID	2035	2	2.0936
CA_IID	2035	3	3.811
CA_IID	2035	4	3.8852
CA_IID	2035	5	4.1506
CA_IID	2035	6	999999999
CA_IID	2045	1	1.3378
CA_IID	2045	2	2.0936
CA_IID	2045	3	3.811
CA_IID	2045	4	3.8852
CA_IID	2045	5	4.1506
CA_IID	2045	6	999999999
CA_LADWP	2015	1	1.7165
CA_LADWP	2015	2	220.4031
CA_LADWP	2015	3	999999999
CA_LADWP	2025	1	1.7165
CA_LADWP	2025	2	220.4031
CA_LADWP	2025	3	999999999
CA_LADWP	2035	1	1.7165
CA_LADWP	2035	2	220.4031
CA_LADWP	2035	3	999999999
CA_LADWP	2045	1	1.7165
CA_LADWP	2045	2	220.4031
CA_LADWP	2045	3	999999999
CA_PGE_BAY	2015	1	1.7128
CA_PGE_BAY	2015	2	9.5991
CA_PGE_BAY	2015	3	1076.3106
CA_PGE_BAY	2015	4	2940.4774
CA_PGE_BAY	2015	5	3741.6686
CA_PGE_BAY	2015	6	4964.8538
CA_PGE_BAY	2015	7	6110.6039
CA_PGE_BAY	2015	8	999999999
CA_PGE_BAY	2025	1	1.7157
CA_PGE_BAY	2025	2	9.6111
CA_PGE_BAY	2025	3	824.7326
CA_PGE_BAY	2025	4	2514.4073
CA_PGE_BAY	2025	5	3767.3439
CA_PGE_BAY	2025	6	4998.9304
CA_PGE_BAY	2025	7	6152.5361
CA_PGE_BAY	2025	8	999999999
CA_PGE_BAY	2035	1	1.7157
CA_PGE_BAY	2035	2	9.6111
CA_PGE_BAY	2035	3	824.7326
CA_PGE_BAY	2035	4	2514.4073
CA_PGE_BAY	2035	5	3767.3439
CA_PGE_BAY	2035	6	4998.9304
CA_PGE_BAY	2035	7	6152.5361
CA_PGE_BAY	2035	8	999999999
CA_PGE_BAY	2045	1	1.7157
CA_PGE_BAY	2045	2	9.6111
CA_PGE_BAY	2045	3	824.7326
CA_PGE_BAY	2045	4	2514.4073
CA_PGE_BAY	2045	5	3767.3439
CA_PGE_BAY	2045	6	4998.9304
CA_PGE_BAY	2045	7	6152.5361
CA_PGE_BAY	2045	8	999999999
CA_PGE_CEN	2015	1	1.1618
CA_PGE_CEN	2015	2	1.984
CA_PGE_CEN	2015	3	6.3764
CA_PGE_CEN	2015	4	6.9069
CA_PGE_CEN	2015	5	3026.74
CA_PGE_CEN	2015	6	11867.7824
CA_PGE_CEN	2015	7	14369.9908
CA_PGE_CEN	2015	8	19066.3147
CA_PGE_CEN	2015	9	23459.6508
CA_PGE_CEN	2015	10	999999999
CA_PGE_CEN	2025	1	1.1618
CA_PGE_CEN	2025	2	1.9931
CA_PGE_CEN	2025	3	7.1201
CA_PGE_CEN	2025	4	2988.6694
CA_PGE_CEN	2025	5	7042.3337
CA_PGE_CEN	2025	6	14639.5639
CA_PGE_CEN	2025	7	19412.5002
CA_PGE_CEN	2025	8	23877.4734
CA_PGE_CEN	2025	9	999999999
CA_PGE_CEN	2035	1	1.1618
CA_PGE_CEN	2035	2	1.9931
CA_PGE_CEN	2035	3	7.1201
CA_PGE_CEN	2035	4	2988.6694
CA_PGE_CEN	2035	5	7042.3337
CA_PGE_CEN	2035	6	14639.5639
CA_PGE_CEN	2035	7	19412.5002
CA_PGE_CEN	2035	8	23877.4734
CA_PGE_CEN	2035	9	999999999
CA_PGE_CEN	2045	1	1.1618
CA_PGE_CEN	2045	2	1.9931
CA_PGE_CEN	2045	3	7.1201
CA_PGE_CEN	2045	4	2988.6694
CA_PGE_CEN	2045	5	7042.3337
CA_PGE_CEN	2045	6	14639.5639
CA_PGE_CEN	2045	7	19412.5002
CA_PGE_CEN	2045	8	23877.4734
CA_PGE_CEN	2045	9	999999999
CA_PGE_N	2015	1	0.6636
CA_PGE_N	2015	2	1.5473
CA_PGE_N	2015	3	2.069
CA_PGE_N	2015	4	4.9924
CA_PGE_N	2015	5	5.8819
CA_PGE_N	2015	6	5.8838
CA_PGE_N	2015	7	1270.6131
CA_PGE_N	2015	8	2533.6635
CA_PGE_N	2015	9	3013.0506
CA_PGE_N	2015	10	3453.0134
CA_PGE_N	2015	11	3511.4571
CA_PGE_N	2015	12	4298.5888
CA_PGE_N	2015	13	4668.0526
CA_PGE_N	2015	14	5027.1379
CA_PGE_N	2015	15	5063.159
CA_PGE_N	2015	16	5491.6278
CA_PGE_N	2015	17	6062.1055
CA_PGE_N	2015	18	6374.5986
CA_PGE_N	2015	19	6687.4658
CA_PGE_N	2015	20	999999999
CA_PGE_N	2025	1	0.6636
CA_PGE_N	2025	2	1.5473
CA_PGE_N	2025	3	2.072
CA_PGE_N	2025	4	4.7064
CA_PGE_N	2025	5	5.9849
CA_PGE_N	2025	6	5.9962
CA_PGE_N	2025	7	1288.9203
CA_PGE_N	2025	8	1800.4591
CA_PGE_N	2025	9	3230.1263
CA_PGE_N	2025	10	3502.9614
CA_PGE_N	2025	11	3562.2313
CA_PGE_N	2025	12	4360.7268
CA_PGE_N	2025	13	4735.5135
CA_PGE_N	2025	14	5099.771
CA_PGE_N	2025	15	5136.2936
CA_PGE_N	2025	16	5570.936
CA_PGE_N	2025	17	6149.6387
CA_PGE_N	2025	18	6466.6281
CA_PGE_N	2025	19	6783.9966
CA_PGE_N	2025	20	999999999
CA_PGE_N	2035	1	0.6636
CA_PGE_N	2035	2	1.5473
CA_PGE_N	2035	3	2.072
CA_PGE_N	2035	4	4.7064
CA_PGE_N	2035	5	5.9849
CA_PGE_N	2035	6	5.9962
CA_PGE_N	2035	7	1288.9203
CA_PGE_N	2035	8	1800.4591
CA_PGE_N	2035	9	3230.1263
CA_PGE_N	2035	10	3502.9614
CA_PGE_N	2035	11	3562.2313
CA_PGE_N	2035	12	4360.7268
CA_PGE_N	2035	13	4735.5135
CA_PGE_N	2035	14	5099.771
CA_PGE_N	2035	15	5136.2936
CA_PGE_N	2035	16	5570.936
CA_PGE_N	2035	17	6149.6387
CA_PGE_N	2035	18	6466.6281
CA_PGE_N	2035	19	6783.9966
CA_PGE_N	2035	20	999999999
CA_PGE_N	2045	1	0.6636
CA_PGE_N	2045	2	1.5473
CA_PGE_N	2045	3	2.072
CA_PGE_N	2045	4	4.7064
CA_PGE_N	2045	5	5.9849
CA_PGE_N	2045	6	5.9962
CA_PGE_N	2045	7	1288.9203
CA_PGE_N	2045	8	1800.4591
CA_PGE_N	2045	9	3230.1263
CA_PGE_N	2045	10	3502.9614
CA_PGE_N	2045	11	3562.2313
CA_PGE_N	2045	12	4360.7268
CA_PGE_N	2045	13	4735.5135
CA_PGE_N	2045	14	5099.771
CA_PGE_N	2045	15	5136.2936
CA_PGE_N	2045	16	5570.936
CA_PGE_N	2045	17	6149.6387
CA_PGE_N	2045	18	6466.6281
CA_PGE_N	2045	19	6783.9966
CA_PGE_N	2045	20	999999999
CA_PGE_S	2015	1	1.3332
CA_PGE_S	2015	2	1.6611
CA_PGE_S	2015	3	2.0325
CA_PGE_S	2015	4	2.6861
CA_PGE_S	2015	5	4.287
CA_PGE_S	2015	6	4.809
CA_PGE_S	2015	7	5.3643
CA_PGE_S	2015	8	6.1786
CA_PGE_S	2015	9	999999999
CA_PGE_S	2025	1	1.3332
CA_PGE_S	2025	2	1.7473
CA_PGE_S	2025	3	2.0491
CA_PGE_S	2025	4	2.5787
CA_PGE_S	2025	5	4.0753
CA_PGE_S	2025	6	4.7672
CA_PGE_S	2025	7	5.187
CA_PGE_S	2025	8	5.6143
CA_PGE_S	2025	9	6.2817
CA_PGE_S	2025	10	999999999
CA_PGE_S	2035	1	1.3332
CA_PGE_S	2035	2	1.7473
CA_PGE_S	2035	3	2.0491
CA_PGE_S	2035	4	2.5787
CA_PGE_S	2035	5	4.0753
CA_PGE_S	2035	6	4.7672
CA_PGE_S	2035	7	5.187
CA_PGE_S	2035	8	5.6143
CA_PGE_S	2035	9	6.2817
CA_PGE_S	2035	10	999999999
CA_PGE_S	2045	1	1.3332
CA_PGE_S	2045	2	1.7473
CA_PGE_S	2045	3	2.0491
CA_PGE_S	2045	4	2.5787
CA_PGE_S	2045	5	4.0753
CA_PGE_S	2045	6	4.7672
CA_PGE_S	2045	7	5.187
CA_PGE_S	2045	8	5.6143
CA_PGE_S	2045	9	6.2817
CA_PGE_S	2045	10	999999999
CA_SCE_CEN	2015	1	0.6636
CA_SCE_CEN	2015	2	1.3576
CA_SCE_CEN	2015	3	1.7827
CA_SCE_CEN	2015	4	1.8875
CA_SCE_CEN	2015	5	2.1971
CA_SCE_CEN	2015	6	3.2677
CA_SCE_CEN	2015	7	4.159
CA_SCE_CEN	2015	8	4.287
CA_SCE_CEN	2015	9	4.3922
CA_SCE_CEN	2015	10	4.5084
CA_SCE_CEN	2015	11	4.7559
CA_SCE_CEN	2015	12	5.4251
CA_SCE_CEN	2015	13	999999999
CA_SCE_CEN	2025	1	0.6636
CA_SCE_CEN	2025	2	1.3576
CA_SCE_CEN	2025	3	1.7827
CA_SCE_CEN	2025	4	1.8875
CA_SCE_CEN	2025	5	2.1879
CA_SCE_CEN	2025	6	3.1545
CA_SCE_CEN	2025	7	3.8356
CA_SCE_CEN	2025	8	4.1897
CA_SCE_CEN	2025	9	4.3113
CA_SCE_CEN	2025	10	4.547
CA_SCE_CEN	2025	11	4.799
CA_SCE_CEN	2025	12	5.4683
CA_SCE_CEN	2025	13	999999999
CA_SCE_CEN	2035	1	0.6636
CA_SCE_CEN	2035	2	1.3576
CA_SCE_CEN	2035	3	1.7827
CA_SCE_CEN	2035	4	1.8875
CA_SCE_CEN	2035	5	2.1879
CA_SCE_CEN	2035	6	3.1545
CA_SCE_CEN	2035	7	3.8356
CA_SCE_CEN	2035	8	4.1897
CA_SCE_CEN	2035	9	4.3113
CA_SCE_CEN	2035	10	4.547
CA_SCE_CEN	2035	11	4.799
CA_SCE_CEN	2035	12	5.4683
CA_SCE_CEN	2035	13	999999999
CA_SCE_CEN	2045	1	0.6636
CA_SCE_CEN	2045	2	1.3576
CA_SCE_CEN	2045	3	1.7827
CA_SCE_CEN	2045	4	1.8875
CA_SCE_CEN	2045	5	2.1879
CA_SCE_CEN	2045	6	3.1545
CA_SCE_CEN	2045	7	3.8356
CA_SCE_CEN	2045	8	4.1897
CA_SCE_CEN	2045	9	4.3113
CA_SCE_CEN	2045	10	4.547
CA_SCE_CEN	2045	11	4.799
CA_SCE_CEN	2045	12	5.4683
CA_SCE_CEN	2045	13	999999999
CA_SCE_S	2015	1	1.7165
CA_SCE_S	2015	2	43.0104
CA_SCE_S	2015	3	999999999
CA_SCE_S	2025	1	1.7165
CA_SCE_S	2025	2	43.0104
CA_SCE_S	2025	3	999999999
CA_SCE_S	2035	1	1.7165
CA_SCE_S	2035	2	43.0104
CA_SCE_S	2035	3	999999999
CA_SCE_S	2045	1	1.7165
CA_SCE_S	2045	2	43.0104
CA_SCE_S	2045	3	999999999
CA_SCE_SE	2015	1	1.3378
CA_SCE_SE	2015	2	2.1271
CA_SCE_SE	2015	3	3.8543
CA_SCE_SE	2015	4	4.2693
CA_SCE_SE	2015	5	999999999
CA_SCE_SE	2025	1	1.3378
CA_SCE_SE	2025	2	2.1264
CA_SCE_SE	2025	3	3.8461
CA_SCE_SE	2025	4	3.9383
CA_SCE_SE	2025	5	4.2702
CA_SCE_SE	2025	6	999999999
CA_SCE_SE	2035	1	1.3378
CA_SCE_SE	2035	2	2.1264
CA_SCE_SE	2035	3	3.8461
CA_SCE_SE	2035	4	3.9383
