ampl.tab 4 1
project_id	load_area	technology	date	avg_capacity_factor_hydro
5000009	AZ_PHX	Hydro_Pumped_EP	20501206	0.0051
5000009	AZ_PHX	Hydro_Pumped_EP	20501221	0.0051
5000010	AZ_PHX	Hydro_NonPumped_EP	20201214	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20201219	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20301208	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20301220	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20401207	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20401212	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20501206	0.2747
5000010	AZ_PHX	Hydro_NonPumped_EP	20501221	0.2747
5000011	AZ_PHX	Hydro_NonPumped_EP	20201214	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20201219	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20301208	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20301220	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20401207	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20401212	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20501206	0.1696
5000011	AZ_PHX	Hydro_NonPumped_EP	20501221	0.1696
5000012	AZ_PHX	Hydro_NonPumped_EP	20201214	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20201219	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20301208	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20301220	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20401207	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20401212	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20501206	0.2961
5000012	AZ_PHX	Hydro_NonPumped_EP	20501221	0.2961
5000013	CA_IID	Hydro_NonPumped_EP	20201214	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20201219	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20301208	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20301220	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20401207	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20401212	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20501206	0.2303
5000013	CA_IID	Hydro_NonPumped_EP	20501221	0.2303
5000014	CA_IID	Hydro_NonPumped_EP	20201214	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20201219	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20301208	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20301220	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20401207	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20401212	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20501206	0.3400
5000014	CA_IID	Hydro_NonPumped_EP	20501221	0.3400
5000015	CA_IID	Hydro_NonPumped_EP	20201214	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20201219	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20301208	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20301220	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20401207	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20401212	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20501206	0.3418
5000015	CA_IID	Hydro_NonPumped_EP	20501221	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20201214	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20201219	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20301208	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20301220	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20401207	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20401212	0.3418
5000016	CA_IID	Hydro_NonPumped_EP	20501206	0.3418
