ampl.tab 4 1
project_id	la_id	technology	hour	capacity_factor
SIC43	S7	Hydro_RoR_EP	2016010802	0.244898
SIC44	S1	Hydro_RoR_EP	2016010802	0.285714
SIC45	S4	Hydro_RoR_EP	2016010802	0.655738
SIC46	S4	Hydro_RoR_EP	2016010802	0.418095
SIC47	S8	Hydro_RoR_EP	2016010802	0.740142
SIC48	S3	Hydro_RoR_EP	2016010802	0
SIC49	S3	Hydro_RoR_EP	2016010802	0
SIC5	S3	Hydro_RoR_EP	2016010802	0.826972
SIC50	S4	Hydro_RoR_EP	2016010802	0.733333
SIC51	S8	Hydro_RoR_EP	2016010802	0
SIC52	S8	Hydro_RoR_EP	2016010802	0.428571
SIC53	S18	Hydro_RoR_EP	2016010802	0
SIC6	S4	Hydro_RoR_EP	2016010802	0.385965
SIC7	S4	Hydro_RoR_EP	2016010802	0.483871
SIC70	S7	Wind_EP	2016010802	0
SIC71	S7	Wind_EP	2016010802	0.00166667
SIC72	S10	Wind_EP	2016010802	0.257576
SIC73	S5	Wind_EP	2016010802	0
SIC74	S7	Wind_EP	2016010802	0.0416667
SIC8	S4	Hydro_RoR_EP	2016010802	0.660674
SIC9	S4	Hydro_RoR_EP	2016010802	0.836735
SIC1	S7	Hydro_RoR_EP	2016010804	0
SIC10	S4	Hydro_RoR_EP	2016010804	0.918182
SIC11	S4	Hydro_RoR_EP	2016010804	1
SIC12	S4	Hydro_RoR_EP	2016010804	0.419355
SIC13	S4	Hydro_RoR_EP	2016010804	0.947368
SIC14	S4	Hydro_RoR_EP	2016010804	0
SIC15	S4	Hydro_RoR_EP	2016010804	1
SIC16	S8	Hydro_RoR_EP	2016010804	1.01124
SIC17	S8	Hydro_RoR_EP	2016010804	0
SIC18	S11	Hydro_RoR_EP	2016010804	0.975
SIC19	S1	Hydro_RoR_EP	2016010804	0.454036
SIC2	S3	Hydro_RoR_EP	2016010804	0.845455
SIC20	S18	Hydro_RoR_EP	2016010804	0.293774
SIC21	S18	Hydro_RoR_EP	2016010804	0.514706
SIC22	S18	Hydro_RoR_EP	2016010804	0.545455
SIC23	S1	Hydro_RoR_EP	2016010804	0
SIC24	S1	Hydro_RoR_EP	2016010804	0
SIC25	S3	Hydro_RoR_EP	2016010804	0.807843
SIC26	S1	Hydro_RoR_EP	2016010804	0.5
SIC27	S1	Hydro_RoR_EP	2016010804	0.264706
SIC28	S8	Hydro_RoR_EP	2016010804	0.985294
SIC29	S4	Hydro_RoR_EP	2016010804	0.242105
SIC3	S3	Hydro_RoR_EP	2016010804	0.602627
SIC30	S4	Hydro_RoR_EP	2016010804	0
SIC31	S1	Hydro_RoR_EP	2016010804	0.466102
SIC32	S4	Hydro_RoR_EP	2016010804	1
SIC33	S4	Hydro_RoR_EP	2016010804	1.08247
SIC34	S1	Hydro_RoR_EP	2016010804	0.875
SIC35	S3	Hydro_RoR_EP	2016010804	0.723636
SIC36	S7	Hydro_RoR_EP	2016010804	0.375
SIC37	S8	Hydro_RoR_EP	2016010804	0.553333
SIC38	S4	Hydro_RoR_EP	2016010804	1.00926
SIC39	S8	Hydro_RoR_EP	2016010804	1.05789
SIC4	S3	Hydro_RoR_EP	2016010804	0.785714
SIC40	S1	Hydro_RoR_EP	2016010804	0.632653
SIC41	S18	Hydro_RoR_EP	2016010804	0.636364
SIC42	S1	Hydro_RoR_EP	2016010804	0.622
SIC43	S7	Hydro_RoR_EP	2016010804	0.244898
SIC44	S1	Hydro_RoR_EP	2016010804	0.285714
SIC45	S4	Hydro_RoR_EP	2016010804	0.655738
SIC46	S4	Hydro_RoR_EP	2016010804	0.422857
SIC47	S8	Hydro_RoR_EP	2016010804	0.80543
SIC48	S3	Hydro_RoR_EP	2016010804	0
SIC49	S3	Hydro_RoR_EP	2016010804	0
SIC5	S3	Hydro_RoR_EP	2016010804	0.832061
SIC50	S4	Hydro_RoR_EP	2016010804	0.783333
SIC51	S8	Hydro_RoR_EP	2016010804	0
SIC52	S8	Hydro_RoR_EP	2016010804	0.428571
SIC53	S18	Hydro_RoR_EP	2016010804	0
SIC6	S4	Hydro_RoR_EP	2016010804	0.421053
SIC7	S4	Hydro_RoR_EP	2016010804	0.483871
SIC70	S7	Wind_EP	2016010804	0
SIC71	S7	Wind_EP	2016010804	0.00833333
SIC72	S10	Wind_EP	2016010804	0.333333
SIC73	S5	Wind_EP	2016010804	0
SIC74	S7	Wind_EP	2016010804	0
SIC8	S4	Hydro_RoR_EP	2016010804	0.620225
SIC9	S4	Hydro_RoR_EP	2016010804	0.816327
SIC1	S7	Hydro_RoR_EP	2016010806	0
SIC10	S4	Hydro_RoR_EP	2016010806	0.913636
SIC11	S4	Hydro_RoR_EP	2016010806	1
SIC12	S4	Hydro_RoR_EP	2016010806	0.451613
SIC13	S4	Hydro_RoR_EP	2016010806	0.947368
SIC14	S4	Hydro_RoR_EP	2016010806	0
SIC15	S4	Hydro_RoR_EP	2016010806	1
SIC16	S8	Hydro_RoR_EP	2016010806	1.01124
SIC17	S8	Hydro_RoR_EP	2016010806	0
SIC18	S11	Hydro_RoR_EP	2016010806	0.975
SIC19	S1	Hydro_RoR_EP	2016010806	0.454036
SIC2	S3	Hydro_RoR_EP	2016010806	1.02727
SIC20	S18	Hydro_RoR_EP	2016010806	0.293774
SIC21	S18	Hydro_RoR_EP	2016010806	0.490196
SIC22	S18	Hydro_RoR_EP	2016010806	0.545455
SIC23	S1	Hydro_RoR_EP	2016010806	0
SIC24	S1	Hydro_RoR_EP	2016010806	0
SIC25	S3	Hydro_RoR_EP	2016010806	0.8
SIC26	S1	Hydro_RoR_EP	2016010806	0.5
SIC27	S1	Hydro_RoR_EP	2016010806	0.264706
SIC28	S8	Hydro_RoR_EP	2016010806	0.985294
SIC29	S4	Hydro_RoR_EP	2016010806	0.242105
SIC3	S3	Hydro_RoR_EP	2016010806	0.581281
SIC30	S4	Hydro_RoR_EP	2016010806	0
SIC31	S1	Hydro_RoR_EP	2016010806	0.480226
SIC32	S4	Hydro_RoR_EP	2016010806	1
SIC33	S4	Hydro_RoR_EP	2016010806	1.08247
SIC34	S1	Hydro_RoR_EP	2016010806	0.84375
