ampl.tab 1 32
technology	technology_id	min_online_year	fuel	construction_time_years	year_1_cost_fraction	year_2_cost_fraction	year_3_cost_fraction	year_4_cost_fraction	year_5_cost_fraction	year_6_cost_fraction	max_age_years	forced_outage_rate	scheduled_outage_rate	can_build_new	ccs	intermittent	resource_limited	baseload	flexible_baseload	dispatchable	cogen	min_build_capacity	competes_for_space	storage	storage_efficiency	max_store_rate	max_spinning_reserve_fraction_of_capacity	heat_rate_penalty_spinning_reserve	minimum_loading	deep_cycling_penalty	startup_mmbtu_per_mw	startup_cost_dollars_per_mw
Bio_Gas_Internal_Combustion_Engine_EP	80	2010	Bio_Gas	1	1	0	0	0	0	0	20	0.11	0.04	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Bio_Gas_Internal_Combustion_Engine_Cogen_EP	81	2010	Bio_Gas	1	1	0	0	0	0	0	20	0.11	0.04	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Gas_Steam_Turbine_EP	82	2000	Bio_Gas	2	0.2	0.8	0	0	0	0	40	0.1288	0.0915	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Bio_Liquid_Steam_Turbine_Cogen_EP	85	2000	Bio_Liquid	2	0.2	0.8	0	0	0	0	40	0.09	0.076	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Solid_Steam_Turbine_EP	90	2000	Bio_Solid	2	0.2	0.8	0	0	0	0	40	0.09	0.076	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0
Bio_Solid_Steam_Turbine_Cogen_EP	91	2000	Bio_Solid	2	0.2	0.8	0	0	0	0	40	0.09	0.076	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Coal_Steam_Turbine_Cogen	100	2010	Coal	2	0.2	0.8	0	0	0	0	40	0.06	0.1	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Combustion_Turbine_Cogen	101	2010	Gas	2	0.25	0.75	0	0	0	0	20	0.03	0.05	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Steam_Turbine_Cogen	102	2010	Gas	2	0.2	0.8	0	0	0	0	40	0.1288	0.0915	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
CCGT_Cogen	103	2010	Gas	2	0.25	0.75	0	0	0	0	20	0.04	0.06	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Internal_Combustion_Engine_Cogen	104	2010	Gas	1	1	0	0	0	0	0	20	0.03	0.05	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Gas_Internal_Combustion_Engine_Cogen	105	2010	Bio_Gas	1	1	0	0	0	0	0	20	0.11	0.04	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Liquid_Steam_Turbine_Cogen	106	2010	Bio_Liquid	2	0.2	0.8	0	0	0	0	40	0.09	0.076	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Solid_Steam_Turbine_Cogen	107	2010	Bio_Solid	2	0.2	0.8	0	0	0	0	40	0.09	0.076	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
CCGT_Cogen_CCS	110	2020	Gas_CCS	2	0.25	0.75	0	0	0	0	20	0.04	0.06	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Combustion_Turbine_Cogen_CCS	111	2020	Gas_CCS	2	0.25	0.75	0	0	0	0	20	0.03	0.05	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Internal_Combustion_Engine_Cogen_CCS	112	2020	Gas_CCS	2	0.25	0.75	0	0	0	0	20	0.03	0.05	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Gas_Steam_Turbine_Cogen_CCS	113	2020	Gas_CCS	2	0.2	0.8	0	0	0	0	40	0.1288	0.0915	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	114	2020	Bio_Gas_CCS	1	1	0	0	0	0	0	20	0.11	0.04	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Liquid_Steam_Turbine_Cogen_CCS	115	2020	Bio_Liquid_CCS	2	0.2	0.8	0	0	0	0	40	0.09	0.076	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Bio_Solid_Steam_Turbine_Cogen_CCS	116	2020	Bio_Solid_CCS	2	0.2	0.8	0	0	0	0	40	0.09	0.076	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
Coal_Steam_Turbine_Cogen_CCS	117	2020	Coal_CCS	2	0.2	0.8	0	0	0	0	40	0.06	0.1	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0
