ampl.tab 3 4
load_area	hydro_project_id	date	technology	technology_id	capacity_mw	avg_output
CA_IID	1207959559	35051208	Hydro_NonPumped	15	81.5	9.38440860215054
CA_IID	1207959559	25051201	Hydro_NonPumped	15	81.5	9.38440860215054
CA_IID	1207959559	45051221	Hydro_NonPumped	15	81.5	9.38440860215054
CA_IID	1207959559	35051218	Hydro_NonPumped	15	81.5	9.38440860215054
CA_LADWP	1207959560	15041208	Hydro_NonPumped	15	18.7	11.4170833333333
CA_LADWP	1207959560	25051201	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	45051221	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	35051218	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	25051215	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	15051216	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	45051217	Hydro_NonPumped	15	18.7	15.2526344086022
CA_LADWP	1207959560	35051208	Hydro_NonPumped	15	18.7	15.2526344086022
CA_PGE_CEN	1207959561	15041208	Hydro_Pumped	16	1834.4	2.15605455534633
CA_PGE_CEN	1207959561	25051215	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	15051216	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	45051217	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	35051208	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	25051201	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	45051221	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959561	35051218	Hydro_Pumped	16	1834.4	37.2846107059714
CA_PGE_CEN	1207959562	15041208	Hydro_NonPumped	15	3338.5	773.042204301075
CA_PGE_CEN	1207959562	25051201	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	45051221	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	35051218	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	25051215	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	15051216	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	45051217	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_CEN	1207959562	35051208	Hydro_NonPumped	15	3338.5	1126.58177419355
CA_PGE_N	1207959563	15041208	Hydro_NonPumped	15	5179.4	1710.24259408602
CA_PGE_N	1207959563	15051216	Hydro_NonPumped	15	5179.4	2392.8275
